symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes
ASTI,2026-04-15,43,8,10:45:00,4.1915,4.4011,4.1679,10:47:00,4.1679,stop_hit,-0.0236,11928,-282.05,0.0236,2.0
ASTI,2026-04-15,59,8,19:09:00,6.5684,6.8968,6.4139,19:20:00,6.44,time_stop,-0.1284,6473,-831.13,0.1545,11.0
ASTI,2026-04-15,60,8,19:14:00,6.6,6.93,6.5536,19:16:00,6.5536,stop_hit,-0.0464,7575,-351.67,0.0464,2.0
ASTI,2026-04-15,64,10,19:48:00,6.45,6.7725,6.3641,19:59:00,6.37,time_stop,-0.08,7751,-620.08,0.0859,11.0
ASTI,2026-04-15,65,8,19:57:00,6.45,6.7725,6.3541,19:59:00,6.3541,stop_hit,-0.0959,7751,-743.51,0.0959,2.0
BIRD,2026-04-15,4,7,08:01:00,2.5938,2.7235,2.5137,08:02:00,2.7235,target_hit,0.1297,12484,1619.05,0.0801,1.0
CIIT,2026-04-15,15,10,19:43:00,1.54,1.617,1.5262,19:54:00,1.56,time_stop,0.02,32467,649.34,0.0138,11.0
QBTX,2026-04-15,19,7,06:34:00,11.89,12.4845,11.8403,06:36:00,11.8403,stop_hit,-0.0497,4205,-208.88,0.0497,2.0
QBTX,2026-04-15,55,8,15:31:00,14.66,15.393,14.4438,15:40:00,14.4438,stop_hit,-0.2162,3410,-737.24,0.2162,9.0
QBTX,2026-04-15,97,7,06:34:00,11.89,12.4845,11.8403,06:36:00,11.8403,stop_hit,-0.0497,4205,-208.88,0.0497,2.0
QBTX,2026-04-15,133,8,15:31:00,14.66,15.393,14.4438,15:40:00,14.4438,stop_hit,-0.2162,3410,-737.24,0.2162,9.0
QBTX,2026-04-15,152,7,18:50:00,16.74,17.577,16.6582,19:01:00,16.81,time_stop,0.07,2986,209.02,0.0817,11.0
VNCE,2026-04-15,17,7,09:14:00,3.0892,3.2437,3.0626,09:25:00,3.1381,time_stop,0.0489,16185,791.45,0.0266,11.0
VNCE,2026-04-15,22,7,11:00:00,3.17,3.3285,3.1621,11:04:00,3.1621,stop_hit,-0.0079,15772,-124.99,0.01,4.0
VNCE,2026-04-15,29,7,12:05:00,3.1263,3.2826,3.0923,12:17:00,3.11,time_stop,-0.0163,15993,-260.69,0.034,12.0
VNCE,2026-04-15,51,9,14:47:00,3.145,3.3023,3.1322,14:48:00,3.1322,stop_hit,-0.0128,15898,-204.29,0.0128,1.0
BTOG,2026-04-16,7,8,15:39:00,2.5399,2.6669,2.5137,16:45:00,2.5,time_stop,-0.0399,19685,-785.43,0.0262,66.0
BTOG,2026-04-16,9,7,04:31:00,2.77,2.9085,2.7431,06:08:00,2.793,time_stop,0.023,18050,415.15,0.0269,97.0
BTOG,2026-04-16,13,7,04:31:00,2.77,2.9085,2.7431,06:08:00,2.793,time_stop,0.023,18050,415.15,0.0269,97.0
BTOG,2026-04-16,23,7,04:31:00,2.77,2.9085,2.7431,06:08:00,2.793,time_stop,0.023,18050,415.15,0.0269,97.0
BTOG,2026-04-16,42,7,04:31:00,2.77,2.9085,2.7431,06:08:00,2.793,time_stop,0.023,18050,415.15,0.0269,97.0
BTOG,2026-04-16,67,7,04:31:00,2.77,2.9085,2.7431,06:08:00,2.793,time_stop,0.023,18050,415.15,0.0269,97.0
