date,symbol,entry_time,entry_price,exit_time,exit_price,shares,pnl,pnl_pct,exit_reason,hold_minutes,box_top,box_bottom,box_range,rsi_at_entry,bar_volume_at_entry
2026-01-16,VZ,2026-01-16 16:44:00+00:00,39.02,2026-01-16 20:21:00+00:00,39.11,362,32.58,0.2307,tiered_vwap_partial,217.0,40.06,38.8,1.26,27.0,80571.0
2026-01-16,VZ,2026-01-16 16:44:00+00:00,39.02,2026-01-16 20:45:00+00:00,39.02,121,0,0,time_stop,241.0,40.06,38.8,1.26,27.0,80571.0
2026-01-19,ENPH,2026-01-16 16:53:00+00:00,35.23,2026-01-16 17:41:00+00:00,35.36,213,27.69,0.369,tiered_vwap_partial,48.0,37.65,34.7,2.95,29.8,13246.0
2026-01-19,ENPH,2026-01-16 16:53:00+00:00,35.23,2026-01-16 20:45:00+00:00,35.31,71,5.68,0.2271,time_stop,232.0,37.65,34.7,2.95,29.8,13246.0
2026-01-19,SOFI,2026-01-16 15:43:00+00:00,26.2,2026-01-16 15:57:00+00:00,26.38,366,65.88,0.687,tiered_vwap_partial,14.0,27.33,25.92,1.41,34.5,140330.0
2026-01-19,SOFI,2026-01-16 15:43:00+00:00,26.2,2026-01-16 20:45:00+00:00,26.04,122,-19.52,-0.6107,time_stop,302.0,27.33,25.92,1.41,34.5,140330.0
2026-01-20,UBER,2026-01-20 17:36:00+00:00,83.17,2026-01-20 20:45:00+00:00,83.2,162,4.86,0.0361,time_stop,189.0,86.35,82.35,4.0,32.5,31326.0
2026-01-21,OKTA,2026-01-21 17:06:00+00:00,88.34,2026-01-21 17:10:00+00:00,88.64,90,27.0,0.3396,tiered_vwap_partial,4.0,97.45,87.12,10.33,31.0,1542.0
2026-01-21,OKTA,2026-01-21 17:06:00+00:00,88.34,2026-01-21 20:45:00+00:00,88.67,30,9.9,0.3736,time_stop,219.0,97.45,87.12,10.33,31.0,1542.0
2026-01-21,PYPL,2026-01-21 16:16:00+00:00,55.7,2026-01-21 20:20:00+00:00,56.11,155,63.55,0.7361,tiered_vwap_partial,244.0,57.87,55.01,2.86,29.5,20670.0
2026-01-21,PYPL,2026-01-21 16:16:00+00:00,55.7,2026-01-21 20:45:00+00:00,56.09,52,20.28,0.7002,time_stop,269.0,57.87,55.01,2.86,29.5,20670.0
2026-01-21,WFC,2026-01-21 16:24:00+00:00,86.17,2026-01-21 17:17:00+00:00,86.8,262,165.06,0.7311,tiered_vwap_partial,53.0,90.8,86.03,4.77,20.0,40608.0
2026-01-21,WFC,2026-01-21 16:24:00+00:00,86.17,2026-01-21 20:45:00+00:00,86.52,88,30.8,0.4062,time_stop,261.0,90.8,86.03,4.77,20.0,40608.0
2026-01-21,AI,2026-01-21 16:26:00+00:00,12.62,2026-01-21 20:45:00+00:00,12.53,486,-43.74,-0.7132,time_stop,259.0,13.99,12.27,1.72,18.3,7823.0
2026-01-21,MARA,2026-01-21 16:45:00+00:00,10.49,2026-01-21 19:29:00+00:00,10.66,466,79.22,1.6206,tiered_vwap_partial,164.0,11.57,10.22,1.35,28.3,147263.0
2026-01-21,MARA,2026-01-21 16:45:00+00:00,10.49,2026-01-21 20:45:00+00:00,10.55,156,9.36,0.572,time_stop,240.0,11.57,10.22,1.35,28.3,147263.0
2026-01-21,CSCO,2026-01-21 16:59:00+00:00,73.76,2026-01-21 20:45:00+00:00,73.83,177,12.39,0.0949,time_stop,226.0,76.05,73.0,3.05,28.8,35468.0
2026-01-21,UBER,2026-01-21 18:08:00+00:00,83.31,2026-01-21 18:48:00+00:00,84.6,108,139.32,1.5484,tiered_vwap_partial,40.0,86.35,82.35,4.0,24.1,21952.0
2026-01-21,UBER,2026-01-21 18:08:00+00:00,83.31,2026-01-21 20:45:00+00:00,84.77,37,54.02,1.7525,time_stop,157.0,86.35,82.35,4.0,24.1,21952.0
2026-01-23,DAL,2026-01-23 16:32:00+00:00,67.55,2026-01-23 17:12:00+00:00,67.92,144,53.28,0.5477,tiered_vwap_partial,40.0,71.67,66.85,4.82,32.6,18299.0
2026-01-23,DAL,2026-01-23 16:32:00+00:00,67.55,2026-01-23 20:45:00+00:00,67.91,49,17.64,0.5329,time_stop,253.0,71.67,66.85,4.82,32.6,18299.0
2026-01-23,UBER,2026-01-23 18:18:00+00:00,82.17,2026-01-23 20:45:00+00:00,81.88,180,-52.2,-0.3529,time_stop,147.0,85.61,81.47,4.14,31.7,14088.0
2026-01-23,WFC,2026-01-23 15:43:00+00:00,86.71,2026-01-23 20:20:00+00:00,86.86,135,20.25,0.173,tiered_vwap_partial,277.0,89.7,86.03,3.67,31.1,36255.0
2026-01-23,WFC,2026-01-23 15:43:00+00:00,86.71,2026-01-23 20:45:00+00:00,87.0,45,13.05,0.3344,time_stop,302.0,89.7,86.03,3.67,31.1,36255.0
2026-01-27,AFRM,2026-01-27 15:04:00+00:00,68.06,2026-01-27 16:06:00+00:00,69.02,374,359.04,1.4105,tiered_vwap_partial,62.0,74.22,68.0,6.22,22.3,21369.0
2026-01-27,AFRM,2026-01-27 15:04:00+00:00,68.06,2026-01-27 20:45:00+00:00,68.6,125,67.5,0.7934,time_stop,341.0,74.22,68.0,6.22,22.3,21369.0
2026-01-28,WBD,2026-01-28 15:17:00+00:00,27.94,2026-01-28 16:00:00+00:00,28.03,939,84.51,0.3221,tiered_vwap_partial,43.0,28.7,27.92,0.78,33.9,82071.0
2026-01-28,WBD,2026-01-28 15:17:00+00:00,27.94,2026-01-28 20:45:00+00:00,28.03,314,28.26,0.3221,time_stop,328.0,28.7,27.92,0.78,33.9,82071.0
2026-01-28,PATH,2026-01-28 17:32:00+00:00,14.38,2026-01-28 20:45:00+00:00,14.2,539,-97.02,-1.2517,time_stop,193.0,15.5,14.08,1.42,25.8,19947.0
2026-01-28,USB,2026-01-28 18:01:00+00:00,55.61,2026-01-28 19:31:00+00:00,56.02,246,100.86,0.7373,tiered_vwap_partial,90.0,56.7,55.28,1.42,33.8,15808.0
2026-01-28,USB,2026-01-28 18:01:00+00:00,55.61,2026-01-28 20:45:00+00:00,55.64,83,2.49,0.0539,time_stop,164.0,56.7,55.28,1.42,33.8,15808.0
2026-01-29,JD,2026-01-29 15:54:00+00:00,28.91,2026-01-29 20:45:00+00:00,28.98,854,59.78,0.2421,time_stop,291.0,30.02,28.82,1.2,34.3,27314.0
2026-01-30,PYPL,2026-01-30 16:18:00+00:00,52.29,2026-01-30 17:30:00+00:00,52.47,305,54.9,0.3442,tiered_vwap_partial,72.0,57.12,52.06,5.06,33.3,82107.0
2026-01-30,PYPL,2026-01-30 16:18:00+00:00,52.29,2026-01-30 20:45:00+00:00,52.63,102,34.68,0.6502,time_stop,267.0,57.12,52.06,5.06,33.3,82107.0
2026-01-30,AAL,2026-01-30 18:17:00+00:00,13.35,2026-01-30 19:27:00+00:00,13.41,609,36.54,0.4494,tiered_vwap_partial,70.0,14.78,13.17,1.61,29.0,92564.0
2026-01-30,AAL,2026-01-30 18:17:00+00:00,13.35,2026-01-30 20:45:00+00:00,13.26,204,-18.36,-0.6742,time_stop,148.0,14.78,13.17,1.61,29.0,92564.0
2026-01-30,LI,2026-01-30 16:00:00+00:00,16.76,2026-01-30 20:45:00+00:00,16.62,639,-89.46,-0.8353,time_stop,285.0,17.55,16.53,1.02,27.7,5168.0
2026-02-02,LI,2026-02-02 18:52:00+00:00,16.57,2026-02-02 20:45:00+00:00,16.51,1040,-62.4,-0.3621,time_stop,113.0,17.55,16.46,1.09,30.5,14236.0
2026-02-02,ETSY,2026-02-02 15:59:00+00:00,52.94,2026-02-02 16:35:00+00:00,53.13,225,42.75,0.3589,tiered_vwap_partial,36.0,60.14,52.54,7.6,23.2,6578.0
2026-02-02,ETSY,2026-02-02 15:59:00+00:00,52.94,2026-02-02 20:45:00+00:00,53.26,76,24.32,0.6045,time_stop,286.0,60.14,52.54,7.6,23.2,6578.0
2026-02-02,GM,2026-02-02 15:30:00+00:00,83.18,2026-02-02 16:50:00+00:00,83.59,126,51.66,0.4929,tiered_vwap_partial,80.0,87.31,82.41,4.9,26.0,15706.0
2026-02-02,GM,2026-02-02 15:30:00+00:00,83.18,2026-02-02 20:45:00+00:00,83.96,43,33.54,0.9377,time_stop,315.0,87.31,82.41,4.9,26.0,15706.0
2026-02-03,LI,2026-02-03 18:14:00+00:00,16.65,2026-02-03 19:21:00+00:00,16.73,550,44.0,0.4805,tiered_vwap_partial,67.0,17.55,16.46,1.09,17.4,10070.0
2026-02-03,LI,2026-02-03 18:14:00+00:00,16.65,2026-02-03 20:45:00+00:00,16.95,184,55.2,1.8018,time_stop,151.0,17.55,16.46,1.09,17.4,10070.0
2026-02-04,LCID,2026-02-04 16:22:00+00:00,10.345,2026-02-04 19:57:00+00:00,10.4154,525,36.96,0.6805,tiered_vwap_partial,215.0,11.485,10.11,1.375,25.7,20591.0
2026-02-04,LCID,2026-02-04 16:22:00+00:00,10.345,2026-02-04 20:45:00+00:00,10.325,175,-3.5,-0.1933,time_stop,263.0,11.485,10.11,1.375,25.7,20591.0
2026-02-05,WBD,2026-02-05 15:09:00+00:00,26.86,2026-02-05 20:45:00+00:00,26.85,522,-5.22,-0.0372,time_stop,336.0,27.87,26.61,1.26,34.6,56033.0
2026-02-10,BAC,2026-02-10 18:34:00+00:00,54.8,2026-02-10 20:36:00+00:00,55.6,182,145.6,1.4599,tiered_vwap_partial,122.0,56.87,54.25,2.62,26.6,219440.0
2026-02-10,BAC,2026-02-10 18:34:00+00:00,54.8,2026-02-10 20:45:00+00:00,55.55,61,45.75,1.3686,time_stop,131.0,56.87,54.25,2.62,26.6,219440.0
2026-02-10,WFC,2026-02-10 18:31:00+00:00,90.51,2026-02-10 20:36:00+00:00,92.23,77,132.44,1.9003,tiered_vwap_partial,125.0,95.09,89.02,6.07,23.8,51922.0
2026-02-10,WFC,2026-02-10 18:31:00+00:00,90.51,2026-02-10 20:45:00+00:00,92.15,26,42.64,1.812,time_stop,134.0,95.09,89.02,6.07,23.8,51922.0
2026-02-10,INTC,2026-02-10 18:21:00+00:00,47.55,2026-02-10 20:45:00+00:00,47.16,195,-76.05,-0.8202,time_stop,144.0,51.3,46.76,4.54,32.8,166041.0
2026-02-10,TFC,2026-02-10 16:21:00+00:00,54.56,2026-02-10 20:15:00+00:00,54.85,271,78.59,0.5315,tiered_vwap_partial,234.0,56.2,54.28,1.92,13.0,13745.0
2026-02-10,TFC,2026-02-10 16:21:00+00:00,54.56,2026-02-10 20:45:00+00:00,55.12,91,50.96,1.0264,time_stop,264.0,56.2,54.28,1.92,13.0,13745.0
2026-02-11,GME,2026-02-11 15:25:00+00:00,24.17,2026-02-11 16:25:00+00:00,24.4,555,127.65,0.9516,tiered_vwap_partial,60.0,25.5,24.02,1.48,33.1,97399.0
2026-02-11,GME,2026-02-11 15:25:00+00:00,24.17,2026-02-11 20:45:00+00:00,24.17,185,0,0,time_stop,320.0,25.5,24.02,1.48,33.1,97399.0
2026-02-11,INTC,2026-02-11 18:02:00+00:00,47.71,2026-02-11 20:21:00+00:00,48.11,126,50.4,0.8384,tiered_vwap_partial,139.0,51.3,46.76,4.54,29.9,232791.0
