date,symbol,box_score,range_high_5d,range_low_5d,range_pct,range_position_pct,high_tests,low_tests,adr_util_today,vwap_dist_pct,sma_slope_pct,avg_daily_vol_5d,price,num_trades,total_pnl,best_trade_pnl,worst_trade_pnl,win_rate,avg_hold_minutes,exit_reasons,skip_reason
2026-01-27,KO,6.07,73.56,70.83,3.85,70.7,3,2,0.678,0.15,0.91,9165571,72.76,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27,VZ,5.39,39.8,38.96,2.16,50.0,4,4,0.612,0.33,-0.42,16011182,39.38,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,DOCU,7.11,58.96,55.01,7.18,30.1,2,2,0.432,0.41,-4.9,2276197,56.2,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,WBD,7.05,28.7,27.92,2.79,23.1,3,2,0.338,0.09,-0.61,10030934,28.1,2,112.77,84.51,28.26,1.0,185.5,tiered_vwap_partial|time_stop,
2026-01-28,PATH,7.01,15.5,14.08,10.09,35.9,2,2,0.315,0.48,-3.15,16184689,14.59,1,-97.02,-97.02,-97.02,0.0,193.0,time_stop,
2026-01-28,KMI,6.96,30.31,28.93,4.77,60.9,2,3,0.411,0.17,2.25,13625585,29.77,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,TFC,6.73,51.14,49.33,3.67,85.6,4,3,0.332,0.1,-0.12,6772842,50.88,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,WFC,6.61,89.07,86.03,3.53,93.1,4,3,0.388,0.04,-1.83,10581820,88.86,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,USB,6.49,56.7,55.28,2.57,75.4,4,4,0.261,0.02,0.55,9584246,56.35,2,103.35,100.86,2.49,1.0,127.0,tiered_vwap_partial|time_stop,
2026-01-28,CSCO,6.44,79.04,73.71,7.23,86.7,2,2,0.64,0.37,-0.43,8254713,78.33,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,HPE,6.43,21.94,20.97,4.63,69.1,3,2,0.617,0.25,-3.35,8513994,21.64,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,JD,6.16,30.16,29.04,3.86,48.2,3,2,0.596,0.25,0.4,6895138,29.58,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,MRVL,5.99,85.47,79.55,7.44,71.6,2,2,0.548,1.22,-1.15,6984632,83.79,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,KO,5.89,73.62,71.44,3.05,74.3,4,2,0.554,0.3,0.98,8911388,73.06,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-29,LYFT,7.66,18.44,17.14,7.58,19.2,2,2,0.441,0.48,-2.34,9287042,17.39,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-29,KMI,7.1,30.57,28.99,5.45,88.6,2,2,0.384,0.18,2.21,12249320,30.39,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-29,HPE,6.52,22.01,20.97,4.96,70.2,3,2,0.651,0.21,-3.1,8513154,21.7,0,0.0,0.0,0.0,0.0,0.0,,
