date,time_et_or_event,equity
session_open,float,30000.0
2026-01-21,11:04:00,83367.44
2026-01-21,11:57:00,83367.44
2026-01-21,11:58:00,81867.48
2026-01-21,14:28:00,82036.06
2026-01-21,14:52:00,82635.82
2026-01-21,16:10:00,83130.86
2026-01-21,16:22:00,83363.61
2026-01-21,17:34:00,84157.3
2026-01-21,17:43:00,83951.48
2026-01-21,18:49:00,85015.01
2026-01-21,19:58:00,84716.29
2026-01-22,11:17:00,86038.54
2026-01-22,11:30:00,87245.41
2026-01-22,16:48:00,87591.33
2026-01-22,19:25:00,87263.78
2026-01-22,19:44:00,87661.49
2026-01-23,09:51:00,88585.11
2026-01-23,10:36:00,89260.34
2026-01-23,11:51:00,88724.73
2026-01-23,17:45:00,88831.14
2026-01-26,06:14:00,89632.86
2026-01-26,06:57:00,89830.78
2026-01-26,09:02:00,90835.57
2026-01-26,18:17:00,91226.97
2026-01-26,19:50:00,90778.76
2026-01-27,08:21:00,89450.29
2026-01-27,08:32:00,106343.53
2026-01-27,11:10:00,107177.53
2026-01-27,15:12:00,105865.65
2026-01-27,17:10:00,107318.51
2026-01-27,18:01:00,107025.58
2026-01-28,05:33:00,106909.72
2026-01-28,06:04:00,106566.73
2026-01-28,07:48:00,108424.9
2026-01-28,08:02:00,120813.0
2026-01-28,12:52:00,119501.12
2026-01-28,13:40:00,120376.18
2026-01-28,16:38:00,119595.21
2026-01-28,16:48:00,120194.21
2026-01-28,18:36:00,118694.4
2026-01-28,19:34:00,118336.93
2026-01-29,11:06:00,118211.64
2026-01-29,11:26:00,118536.46
2026-01-30,06:33:00,119821.18
2026-01-30,06:58:00,119466.36
2026-01-30,07:16:00,118414.12
2026-01-30,17:11:00,119871.09
2026-01-30,17:56:00,119567.14
2026-01-30,19:35:00,118255.64
2026-02-02,13:43:00,118030.32
2026-02-02,13:54:00,118506.11
2026-02-02,14:27:00,118105.56
2026-02-02,14:38:00,118624.08
2026-02-02,14:53:00,119002.5
2026-02-02,14:57:00,119788.18
2026-02-02,15:11:00,122276.11
2026-02-02,17:24:00,122609.87
2026-02-02,18:10:00,122292.57
2026-02-02,18:28:00,120792.65
2026-02-02,19:17:00,121397.58
2026-02-02,19:28:00,120893.79
2026-02-02,19:58:00,120386.13
2026-02-03,11:56:00,118993.08
2026-02-03,12:31:00,119263.08
2026-02-03,15:50:00,119804.45
2026-02-03,19:45:00,119298.75
2026-02-03,19:55:00,119511.51
2026-02-04,05:50:00,119387.25
2026-02-04,09:06:00,119157.44
2026-02-04,09:31:00,118726.47
2026-02-04,12:14:00,118523.34
2026-02-05,10:46:00,117023.5
2026-02-05,17:00:00,117778.09
2026-02-05,17:06:00,117652.97
2026-02-05,17:52:00,118314.61
2026-02-05,18:27:00,118431.39
2026-02-06,10:26:00,116931.52
2026-02-06,18:01:00,117803.89
2026-02-09,09:08:00,118353.78
2026-02-09,09:12:00,118766.03
2026-02-09,09:17:00,117875.8
2026-02-09,09:51:00,118121.6
2026-02-09,11:58:00,117850.04
2026-02-10,06:03:00,119140.16
2026-02-10,09:00:00,119262.3
2026-02-10,09:14:00,119792.65
2026-02-10,11:24:00,119541.71
2026-02-10,12:08:00,119735.13
2026-02-10,12:57:00,119610.46
2026-02-10,13:04:00,119654.69
2026-02-10,15:36:00,119852.8
2026-02-10,19:26:00,119366.11
2026-02-11,09:17:00,118926.58
2026-02-11,11:14:00,120423.07
2026-02-12,07:33:00,120953.57
2026-02-12,09:24:00,120659.37
2026-02-12,09:32:00,120533.64
2026-02-12,10:54:00,122092.27
2026-02-12,11:57:00,124185.8
2026-02-13,09:52:00,123334.93
2026-02-13,10:08:00,123758.43
2026-02-13,10:58:00,123758.43
2026-02-13,11:09:00,124174.95
2026-02-13,11:43:00,122675.6
2026-02-13,11:54:00,123206.7
2026-02-13,11:55:00,122889.5
2026-02-17,19:28:00,122316.15
2026-02-18,10:31:00,122731.92
2026-02-18,19:04:00,123110.37
2026-02-20,11:30:00,122511.25
2026-02-23,08:24:00,140408.76
2026-02-23,10:52:00,140067.92
2026-02-23,10:58:00,138943.77
2026-02-23,11:06:00,138390.13
2026-02-23,11:34:00,137639.1
2026-02-24,10:38:00,138270.53
2026-02-24,11:02:00,138701.56
2026-02-24,11:26:00,139075.62
2026-02-24,11:58:00,139686.3
2026-02-25,10:57:00,140068.34
2026-02-25,11:44:00,139888.62
2026-02-25,11:48:00,140097.71
2026-02-26,11:40:00,139902.78
2026-02-26,11:51:00,140015.45
2026-02-27,09:15:00,139812.96
2026-02-27,09:32:00,139988.06
2026-02-27,11:06:00,139824.05
2026-02-27,11:11:00,139097.56
2026-02-27,11:40:00,138131.31
2026-03-04,08:39:00,138488.44
2026-03-04,09:21:00,137879.24
2026-03-04,10:32:00,136379.35
2026-03-05,09:31:00,138226.44
2026-03-05,18:43:00,138101.44
2026-03-05,19:58:00,136887.89
2026-03-09,10:41:00,138817.72
2026-03-09,15:29:00,138646.95
2026-03-09,16:41:00,139333.26
2026-03-09,17:16:00,139728.11
2026-03-09,19:32:00,139218.52
2026-03-10,09:40:00,140417.3
2026-03-11,10:24:00,138917.36
2026-03-12,11:00:00,137999.19
2026-03-12,13:01:00,138308.69
2026-03-12,13:57:00,137449.92
2026-03-12,14:16:00,137905.66
2026-03-12,16:59:00,138878.97
2026-03-12,17:19:00,139411.67
2026-03-12,18:44:00,140056.31
2026-03-18,09:46:00,142498.18
2026-03-18,10:29:00,142262.11
2026-03-18,10:30:00,142701.56
2026-03-18,11:58:00,142594.24
2026-03-18,17:53:00,143198.65
2026-03-18,18:17:00,144009.42
2026-03-18,18:57:00,144087.04
2026-03-19,11:08:00,144598.49
2026-03-19,19:23:00,144732.08
2026-03-20,11:00:00,145726.27
2026-03-23,09:03:00,146115.64
2026-03-23,19:27:00,144787.17
2026-03-24,09:15:00,146315.01
2026-03-24,11:37:00,146309.06
2026-03-26,04:54:00,147549.54
2026-03-26,05:10:00,147424.29
2026-03-26,07:31:00,147872.46
2026-03-26,08:00:00,148165.6
2026-03-26,09:31:00,152590.49
2026-03-26,09:35:00,151090.62
2026-03-26,09:41:00,151940.62
2026-03-26,09:53:00,152879.37
2026-03-26,11:04:00,155064.48
2026-03-26,11:25:00,155161.91
2026-03-26,11:40:00,155944.99
2026-03-26,11:47:00,156162.3
2026-03-26,11:52:00,157092.71
2026-03-26,12:30:00,157473.51
2026-03-26,12:31:00,156791.78
2026-03-26,13:55:00,157716.3
2026-03-26,14:05:00,158117.61
2026-03-26,14:25:00,158929.66
2026-03-26,14:35:00,160152.3
2026-03-26,15:16:00,160027.04
2026-03-26,15:26:00,160638.61
2026-03-26,15:47:00,161392.69
2026-03-26,16:37:00,161976.72
2026-03-26,17:10:00,160843.77
2026-03-26,17:12:00,161150.04
2026-03-26,19:15:00,161353.94
2026-03-26,19:39:00,161844.45
2026-03-26,19:39:00,160709.77
2026-03-26,19:49:00,161518.79
2026-03-26,19:49:00,161618.51
2026-03-26,19:57:00,161618.51
2026-03-26,19:57:00,161618.51
2026-03-27,17:47:00,162156.51
2026-03-27,19:51:00,161966.01
2026-03-30,04:54:00,161004.45
2026-03-30,06:24:00,162265.99
2026-03-31,14:41:00,161665.99
2026-03-31,16:50:00,160457.3
2026-03-31,17:25:00,159241.09
2026-03-31,17:30:00,159116.1
2026-03-31,18:27:00,158991.1
2026-03-31,18:40:00,158654.24
2026-03-31,18:55:00,157598.19
2026-03-31,19:00:00,156996.3
2026-03-31,19:21:00,157364.82
2026-04-01,05:45:00,158238.18
2026-04-01,09:13:00,158653.9
2026-04-01,09:21:00,157154.35
2026-04-01,10:57:00,155654.72
2026-04-01,17:29:00,156023.24
2026-04-01,19:04:00,155627.58
2026-04-01,19:32:00,155303.4
2026-04-01,19:40:00,153803.43
2026-04-01,19:58:00,153030.7
2026-04-02,06:41:00,152775.46
2026-04-02,07:02:00,152374.15
2026-04-02,07:08:00,150874.26
2026-04-02,08:59:00,151248.26
2026-04-02,12:08:00,150378.13
2026-04-02,12:23:00,151160.77
2026-04-02,12:28:00,151468.44
2026-04-02,12:44:00,151197.06
2026-04-02,14:11:00,150513.25
2026-04-02,15:04:00,149920.53
2026-04-02,15:13:00,149245.49
2026-04-02,15:33:00,149500.29
2026-04-02,17:27:00,149703.08
2026-04-02,18:26:00,149263.09
2026-04-02,19:16:00,149375.62
2026-04-02,19:28:00,149711.6
2026-04-02,19:55:00,148873.14
2026-04-02,19:59:00,148291.78
2026-04-06,09:13:00,150100.74
2026-04-06,11:01:00,150523.52
2026-04-06,13:46:00,150705.51
2026-04-06,14:06:00,150217.24
2026-04-06,14:29:00,150450.89
2026-04-06,14:51:00,150700.89
2026-04-06,15:01:00,150267.48
2026-04-06,16:21:00,148767.54
2026-04-06,16:50:00,148111.59
2026-04-06,17:03:00,147161.18
2026-04-06,17:33:00,147111.39
2026-04-06,17:43:00,146163.71
2026-04-06,18:29:00,146786.97
2026-04-06,19:28:00,146572.2
2026-04-06,19:58:00,146572.2
2026-04-06,19:59:00,146572.2
2026-04-07,10:39:00,147751.45
2026-04-07,11:38:00,148278.27
2026-04-07,16:44:00,148792.08
2026-04-07,16:48:00,149228.56
2026-04-07,17:23:00,150545.77
2026-04-07,17:36:00,149761.38
2026-04-07,17:43:00,149982.95
2026-04-07,17:47:00,150644.98
2026-04-07,18:04:00,150204.34
2026-04-07,19:01:00,150078.96
2026-04-07,19:26:00,150262.58
2026-04-07,19:55:00,152168.1
2026-04-07,19:59:00,152208.33
2026-04-08,06:34:00,152773.78
2026-04-08,07:11:00,154958.92
2026-04-08,08:27:00,154522.76
2026-04-08,08:28:00,154098.07
2026-04-08,08:35:00,152598.09
2026-04-08,09:33:00,153653.08
2026-04-08,10:23:00,153431.05
2026-04-08,10:44:00,153204.99
2026-04-08,10:56:00,153505.84
2026-04-08,11:31:00,153082.19
2026-04-08,12:10:00,153902.72
2026-04-08,13:36:00,154197.01
2026-04-08,16:42:00,152758.1
2026-04-08,17:22:00,152453.6
2026-04-08,17:53:00,153343.76
2026-04-08,18:02:00,153553.37
2026-04-08,18:31:00,153428.37
2026-04-08,19:05:00,154101.43
2026-04-08,19:30:00,154450.58
2026-04-08,19:51:00,154450.58
2026-04-09,07:45:00,154077.17
2026-04-09,07:49:00,153823.32
2026-04-09,09:19:00,155172.21
2026-04-09,09:35:00,154090.77
2026-04-09,12:49:00,153776.38
2026-04-09,13:28:00,153274.52
2026-04-09,16:06:00,151933.14
2026-04-09,17:05:00,151808.4
2026-04-09,17:16:00,151683.4
2026-04-09,17:17:00,151262.47
2026-04-09,17:25:00,151979.03
2026-04-09,17:32:00,152654.42
2026-04-09,17:41:00,152046.36
2026-04-09,18:56:00,152314.57
2026-04-09,19:37:00,152189.34
2026-04-09,19:46:00,153482.4
2026-04-09,19:56:00,153259.96
2026-04-10,10:24:00,153430.56
2026-04-10,16:35:00,152490.68
2026-04-10,16:56:00,153149.06
2026-04-10,17:19:00,152632.04
2026-04-10,17:29:00,152832.3
2026-04-10,18:19:00,153626.57
2026-04-10,19:58:00,153065.47
2026-04-13,05:31:00,154283.75
2026-04-13,05:57:00,154763.26
2026-04-13,07:33:00,154517.48
2026-04-13,07:57:00,153705.58
2026-04-13,08:09:00,153094.9
2026-04-13,08:32:00,153928.31
2026-04-13,08:57:00,153377.01
2026-04-13,09:58:00,151877.08
2026-04-13,10:48:00,151527.99
2026-04-13,11:00:00,151933.08
2026-04-13,11:09:00,150858.68
2026-04-13,11:38:00,150045.33
2026-04-13,11:56:00,149920.33
2026-04-13,12:15:00,150109.61
2026-04-13,12:23:00,150308.58
2026-04-13,12:38:00,149567.86
2026-04-13,12:52:00,149443.54
2026-04-13,15:57:00,151386.86
2026-04-14,06:56:00,151260.19
2026-04-14,07:48:00,153291.83
2026-04-14,08:38:00,153290.59
2026-04-14,09:13:00,152929.26
2026-04-14,12:00:00,151790.18
2026-04-14,13:56:00,152528.65
2026-04-14,16:00:00,152072.66
2026-04-14,17:54:00,152936.85
2026-04-14,19:09:00,153244.73
2026-04-14,19:26:00,152965.41
2026-04-15,06:36:00,152756.42
2026-04-15,08:02:00,163171.82
2026-04-15,09:23:00,163639.57
2026-04-15,10:47:00,163358.07
2026-04-15,11:04:00,163925.86
2026-04-15,12:18:00,164512.8
2026-04-15,14:48:00,164309.31
2026-04-15,15:40:00,163572.07
2026-04-15,17:28:00,163906.42
2026-04-15,17:47:00,163317.34
2026-04-15,18:56:00,163523.67
2026-04-15,19:24:00,162347.62
2026-04-15,19:46:00,163097.61
2026-04-15,19:59:00,162431.8
2026-04-16,05:29:00,162306.8
2026-04-16,06:08:00,163508.93
2026-04-16,06:39:00,164406.13
2026-04-16,09:22:00,165181.3
2026-04-16,09:43:00,166287.02
2026-04-16,16:45:00,165771.27
2026-04-16,16:46:00,166116.99
2026-04-16,18:02:00,165827.06
2026-04-16,18:27:00,165701.87
2026-04-16,18:40:00,165876.76
2026-04-16,19:29:00,166384.33
2026-04-16,19:37:00,165976.82
2026-04-16,19:54:00,166524.42
2026-04-16,19:59:00,166155.26
2026-04-17,07:24:00,166010.68
2026-04-17,13:56:00,165741.9
2026-04-17,14:02:00,165330.99
2026-04-17,14:21:00,164866.12
2026-04-17,15:49:00,163629.78
2026-04-17,17:23:00,163826.57
2026-04-17,18:18:00,164107.38
2026-04-20,08:40:00,164076.93
2026-04-21,05:02:00,164148.56
2026-04-21,09:23:00,163419.66
2026-04-21,09:30:00,164782.55
2026-04-21,09:44:00,163555.45
2026-04-21,11:18:00,164324.48
2026-04-21,11:23:00,164066.01
2026-04-21,11:30:00,163899.75
2026-04-21,11:43:00,163326.74
2026-04-21,11:43:00,164079.06
2026-04-21,11:51:00,163953.47
2026-04-21,11:53:00,162988.14
2026-04-21,12:02:00,162744.65
2026-04-21,12:21:00,162499.46
2026-04-21,12:36:00,162917.72
2026-04-21,12:44:00,162763.01
2026-04-21,12:50:00,162393.78
2026-04-21,13:01:00,163957.31
2026-04-21,13:17:00,164310.58
2026-04-21,13:32:00,164022.21
2026-04-21,13:46:00,164190.93
2026-04-21,14:05:00,164296.89
2026-04-21,14:55:00,164168.99
2026-04-21,15:21:00,164602.54
2026-04-21,16:20:00,164714.28
2026-04-21,16:22:00,164361.08
2026-04-21,16:39:00,164516.53
2026-04-21,17:11:00,164802.23
2026-04-21,17:52:00,165818.33
2026-04-21,18:23:00,165446.75
2026-04-21,18:34:00,164706.04
2026-04-21,19:15:00,164493.39
2026-04-21,19:42:00,164803.54
2026-04-21,19:53:00,164132.01
2026-04-22,07:00:00,163786.89
2026-04-22,08:11:00,163225.76
2026-04-22,09:05:00,163580.8
2026-04-22,09:22:00,163220.62
2026-04-22,09:25:00,162876.33
2026-04-22,09:46:00,161376.36
2026-04-22,11:08:00,161748.1
2026-04-22,11:10:00,161622.23
2026-04-22,11:23:00,161908.94
2026-04-22,12:39:00,162205.59
2026-04-22,16:40:00,162757.04
2026-04-23,13:50:00,163149.91
2026-04-23,19:58:00,162437.16
2026-04-24,04:56:00,163316.53
2026-04-24,07:02:00,164659.18
2026-04-24,07:11:00,163987.02
2026-04-24,08:56:00,163374.6
2026-04-24,09:30:00,164719.24
2026-04-24,10:24:00,164971.49
2026-04-24,13:04:00,164474.0
2026-04-24,14:51:00,163770.4
2026-04-24,15:28:00,164937.71
2026-04-24,15:48:00,164298.76
2026-04-24,16:19:00,164943.62
2026-04-27,06:17:00,165270.56
2026-04-27,07:48:00,165507.96
2026-04-27,09:08:00,165691.01
2026-04-27,12:38:00,166018.51
2026-04-27,14:35:00,165182.5
2026-04-27,14:45:00,165119.38
2026-04-28,04:56:00,165816.38
2026-04-28,05:13:00,166348.41
2026-04-28,05:21:00,166416.11
2026-04-28,05:40:00,166551.78
2026-04-28,05:46:00,167743.12
2026-04-28,06:21:00,167073.37
2026-04-28,06:38:00,168209.9
2026-04-28,07:17:00,167733.94
2026-04-28,07:45:00,167389.67
2026-04-28,08:14:00,167057.54
2026-04-28,08:20:00,166795.91
2026-04-28,08:50:00,165970.87
2026-04-28,09:04:00,166188.9
2026-04-28,09:25:00,166721.3
2026-04-28,09:25:00,166956.37
2026-04-28,11:57:00,166796.69
2026-04-28,12:31:00,167056.34
2026-04-28,12:34:00,167176.55
2026-04-28,13:22:00,167153.92
2026-04-28,14:38:00,167344.64
2026-04-28,15:38:00,167461.56
2026-04-28,15:57:00,167044.91
2026-04-28,15:59:00,166574.62
2026-04-28,18:00:00,168350.32
2026-04-28,18:25:00,167908.86
2026-04-28,18:31:00,167651.93
2026-04-28,18:32:00,167316.38
2026-04-28,18:51:00,167190.81
2026-04-28,19:39:00,167071.75
2026-04-29,04:54:00,166360.12
2026-04-29,05:28:00,166713.19
2026-04-29,05:37:00,168011.03
2026-04-29,06:07:00,168456.04
2026-04-29,07:00:00,172122.74
2026-04-29,07:16:00,172986.16
2026-04-29,07:28:00,174802.08
2026-04-29,08:15:00,175418.68
2026-04-29,08:26:00,176351.71
2026-04-29,09:16:00,177099.39
2026-04-29,11:08:00,176027.17
2026-04-29,11:52:00,175695.58
2026-04-29,12:44:00,176807.51
2026-04-29,13:06:00,177135.31
2026-04-29,13:10:00,177875.64
2026-04-29,13:16:00,178195.45
2026-04-29,13:27:00,178671.34
2026-04-29,13:46:00,178975.73
2026-04-29,14:12:00,179083.65
2026-04-29,14:34:00,179252.54
2026-04-29,14:43:00,178864.28
2026-04-29,14:52:00,177364.86
2026-04-29,15:26:00,177693.23
