strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,anchor_type,anchor_date
AVWAP-Pullback,DIS,2023-05-17,short,2023-05-17T10:28:00,2023-05-17T10:39:00,91.75,91.8973835593109,91.8973835593109,91.45523288137821,185,1000.0,-27.265958472515734,-0.027265958472515735,stop,gap_day,2023-05-11
AVWAP-Pullback,AAPL,2023-05-18,long,2023-05-18T10:00:00,2023-05-18T10:36:00,173.09,173.99,172.53638902952628,174.19722194094746,988,1000.0,889.2000000000056,0.8892000000000057,trail_stop,gap_day,2023-05-05
AVWAP-Pullback,QCOM,2023-05-18,short,2023-05-18T10:05:00,2023-05-18T10:08:00,105.49,105.72878824898501,105.72878824898501,105.01242350202996,215,1000.0,-51.339473531778665,-0.051339473531778666,stop,gap_day,2023-05-04
AVWAP-Pullback,ROKU,2023-05-18,long,2023-05-18T11:17:00,2023-05-18T11:26:00,53.89,54.05,53.74521836972236,54.179563260555284,86,1000.0,13.759999999999707,0.013759999999999706,trail_stop,gap_day,2023-05-10
AVWAP-Pullback,SNAP,2023-05-18,short,2023-05-18T09:36:00,2023-05-18T09:43:00,9.295,9.47881108148332,9.47881108148332,8.92737783703336,586,1000.0,-107.71329374922554,-0.10771329374922554,stop,gap_day,2023-05-17
AVWAP-Pullback,F,2023-05-18,short,2023-05-18T11:53:00,2023-05-18T15:55:00,11.64,11.635,11.812872629049027,11.294254741901948,1332,1000.0,6.660000000001041,0.006660000000001041,session_close,gap_day,2023-05-05
AVWAP-Pullback,BAC,2023-05-18,long,2023-05-18T12:10:00,2023-05-18T15:49:00,28.11,28.39,27.919813046535513,28.490373906928973,1528,1000.0,427.84000000000174,0.4278400000000017,trail_stop,gap_day,2023-05-05
AVWAP-Pullback,DIS,2023-05-18,short,2023-05-18T12:19:00,2023-05-18T12:22:00,93.5,93.2509989572005,93.62450052139975,93.2509989572005,121,1000.0,30.129126178740222,0.030129126178740223,target,gap_day,2023-05-11
AVWAP-Pullback,NFLX,2023-05-19,short,2023-05-19T10:48:00,2023-05-19T10:51:00,364.67,365.1585202517962,365.1585202517962,363.6929594964077,222,1000.0,-108.45149589874757,-0.10845149589874757,stop,gap_day,2023-05-18
AVWAP-Pullback,INTC,2023-05-19,short,2023-05-19T10:54:00,2023-05-19T11:41:00,29.925,29.7175,30.075777762267368,29.623444475465266,329,1000.0,68.26749999999986,0.06826749999999986,trail_stop,gap_day,2023-05-03
AVWAP-Pullback,QCOM,2023-05-19,long,2023-05-19T11:32:00,2023-05-19T11:59:00,106.0,105.66678742888445,105.66678742888445,106.6664251422311,415,1000.0,-138.28321701295437,-0.13828321701295437,stop,gap_day,2023-05-04
AVWAP-Pullback,PLTR,2023-05-19,short,2023-05-19T10:26:00,2023-05-19T10:51:00,11.73,11.897345458889864,11.897345458889864,11.395309082220273,2041,1000.0,-341.5520815942123,-0.3415520815942123,stop,gap_day,2023-05-15
AVWAP-Pullback,ROKU,2023-05-19,short,2023-05-19T10:20:00,2023-05-19T10:27:00,53.98,53.580071970396595,54.1799640148017,53.580071970396595,241,1000.0,96.38265513441978,0.09638265513441978,target,gap_day,2023-05-10
AVWAP-Pullback,SNAP,2023-05-19,long,2023-05-19T10:37:00,2023-05-19T15:55:00,9.595,9.7,9.419328546234768,9.946342907530466,730,1000.0,76.64999999999901,0.07664999999999901,session_close,gap_day,2023-05-17
AVWAP-Pullback,F,2023-05-19,long,2023-05-19T09:50:00,2023-05-19T11:39:00,11.725,11.557363816520677,11.557363816520677,12.060272366958644,153,1000.0,-25.648336072336313,-0.025648336072336315,stop,gap_day,2023-05-05
AVWAP-Pullback,BAC,2023-05-19,long,2023-05-19T12:00:00,2023-05-19T15:55:00,28.13,28.165,27.91581579077003,28.55836841845994,389,1000.0,13.615000000000055,0.013615000000000056,session_close,gap_day,2023-05-05
AVWAP-Pullback,DIS,2023-05-19,short,2023-05-19T09:43:00,2023-05-19T09:45:00,92.485,91.97045728739319,92.7422713563034,91.97045728739319,659,1000.0,339.0836476078887,0.33908364760788867,target,gap_day,2023-05-11
AVWAP-Pullback,NFLX,2023-05-22,short,2023-05-22T12:23:00,2023-05-22T12:34:00,365.27,365.8419223650553,365.8419223650553,364.1261552698893,94,1000.0,-53.76070231520225,-0.053760702315202254,stop,gap_day,2023-05-18
AVWAP-Pullback,INTC,2023-05-22,long,2023-05-22T09:39:00,2023-05-22T12:50:00,29.98,30.376308402230844,29.78184579888458,30.376308402230844,595,1000.0,235.80349932735197,0.23580349932735198,target,gap_day,2023-05-03
AVWAP-Pullback,QCOM,2023-05-22,short,2023-05-22T09:50:00,2023-05-22T10:10:00,105.12,104.735,105.49906957154214,104.36186085691574,202,1000.0,77.77000000000103,0.07777000000000103,trail_stop,gap_day,2023-05-04
AVWAP-Pullback,MU,2023-05-22,short,2023-05-22T10:21:00,2023-05-22T10:23:00,65.495,65.76916505258,65.76916505258,64.94666989484003,1973,1000.0,-540.9276487403171,-0.5409276487403171,stop,gap_day,2023-05-15
AVWAP-Pullback,ROKU,2023-05-22,short,2023-05-22T09:53:00,2023-05-22T09:54:00,53.91,54.07799810596609,54.07799810596609,53.57400378806781,543,1000.0,-91.22297153958783,-0.09122297153958783,stop,gap_day,2023-05-10
