symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes
ALOY,2026-04-09,29,9,19:35:00,10.25,0.0,10.2044,19:56:00,10.2044,stop_hit,-0.0456,4878,-222.31,0.0456,21.0
IQST,2026-04-10,34,9,10:23:00,2.1101,0.0,2.1047,10:24:00,2.1173,trailing_stop,0.0072,23695,170.9,0.01,1.0
IQST,2026-04-10,80,9,19:14:00,1.8,0.0,1.7781,19:58:00,1.7798,session_end,-0.0202,27777,-561.1,0.0219,44.0
SQFT,2026-04-10,15,10,17:27:00,3.82,0.0,3.7905,17:29:00,3.8353,trailing_stop,0.0153,13089,199.61,0.0295,2.0
BATL,2026-04-13,7,10,05:30:00,4.1,0.0,4.0798,05:31:00,4.1999,trailing_stop,0.0999,12195,1218.13,0.0202,1.0
BATL,2026-04-13,76,9,12:51:00,3.66,0.0,3.6509,12:52:00,3.6509,stop_hit,-0.0091,13661,-125.0,0.01,1.0
KIDZ,2026-04-14,9,10,10:07:00,2.164,0.0,2.1147,12:00:00,2.1147,stop_hit,-0.0493,20283,-999.95,0.0493,113.0
KIDZ,2026-04-14,26,10,10:07:00,2.164,0.0,2.1147,12:00:00,2.1147,stop_hit,-0.0493,20283,-999.95,0.0493,113.0
ROLR,2026-04-14,17,10,07:47:00,5.3993,0.0,5.3366,07:48:00,5.6187,trailing_stop,0.2194,9260,2031.3,0.0627,1.0
ASTI,2026-04-15,24,10,17:44:00,6.45,0.0,6.374,17:47:00,6.374,stop_hit,-0.076,7751,-588.88,0.076,3.0
ASTI,2026-04-15,64,10,19:48:00,6.45,0.0,6.3641,19:59:00,6.3641,stop_hit,-0.0859,7751,-666.2,0.0859,11.0
CIIT,2026-04-15,15,10,19:43:00,1.54,0.0,1.5262,19:46:00,1.5631,trailing_stop,0.0231,32467,749.58,0.0138,3.0
VNCE,2026-04-15,51,9,14:47:00,3.145,0.0,3.1322,14:48:00,3.1322,stop_hit,-0.0128,15898,-204.29,0.0128,1.0
KIDZ,2026-04-16,15,9,06:35:00,1.4712,0.0,1.4663,06:39:00,1.4976,trailing_stop,0.0264,33985,895.93,0.01,4.0
KIDZ,2026-04-16,78,9,06:35:00,1.4712,0.0,1.4663,06:39:00,1.4976,trailing_stop,0.0264,33985,895.93,0.01,4.0
KIDZ,2026-04-16,149,9,06:35:00,1.4712,0.0,1.4663,06:39:00,1.4976,trailing_stop,0.0264,33985,895.93,0.01,4.0
KIDZ,2026-04-16,221,9,06:35:00,1.4712,0.0,1.4663,06:39:00,1.4976,trailing_stop,0.0264,33985,895.93,0.01,4.0
KIDZ,2026-04-16,294,9,06:35:00,1.4712,0.0,1.4663,06:39:00,1.4976,trailing_stop,0.0264,33985,895.93,0.01,4.0
KIDZ,2026-04-16,367,9,06:35:00,1.4712,0.0,1.4663,06:39:00,1.4976,trailing_stop,0.0264,33985,895.93,0.01,4.0
KIDZ,2026-04-16,442,9,06:35:00,1.4712,0.0,1.4663,06:39:00,1.4976,trailing_stop,0.0264,33985,895.93,0.01,4.0
WNW,2026-04-16,56,10,19:27:00,5.26,0.0,5.2469,19:29:00,5.3134,trailing_stop,0.0534,9505,507.8,0.0131,2.0
BATL,2026-04-21,20,9,09:22:00,3.32,0.0,3.2716,09:23:00,3.2716,stop_hit,-0.0484,15060,-728.9,0.0484,1.0
SPPL,2026-04-21,30,9,14:46:00,2.15,0.0,2.1445,14:55:00,2.1445,stop_hit,-0.0055,23255,-127.32,0.01,9.0
SPRC,2026-04-21,13,10,12:59:00,5.095,0.0,5.0274,13:17:00,5.131,trailing_stop,0.036,9813,353.27,0.0676,18.0
