symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes,slot
STSS,2026-01-16,14,7,09:15:00,2.18,0.0,2.1746,09:16:00,2.1873,trailing_stop,0.0073,22935,166.85,0.01,1.0,0
STSS,2026-01-16,19,7,09:43:00,2.15,0.0,2.1473,09:44:00,2.2087,trailing_stop,0.0587,23255,1364.12,0.01,1.0,0
BDRX,2026-01-16,17,7,10:10:00,2.22,0.0,2.1632,10:57:00,2.2104,session_end,-0.0096,17598,-168.94,0.0568,47.0,0
BIYA,2026-01-16,13,7,17:42:00,5.79,0.0,5.7755,17:43:00,5.8628,trailing_stop,0.0728,8635,628.3,0.0145,1.0,0
ACCL,2026-01-16,23,7,19:28:00,2.25,0.0,2.2244,19:41:00,2.2244,stop_hit,-0.0256,22222,-568.33,0.0256,13.0,0
TNMG,2026-01-16,21,8,19:48:00,3.33,0.0,3.3217,19:49:00,3.3217,stop_hit,-0.0083,15015,-125.0,0.01,1.0,0
LCFY,2026-01-16,17,10,19:56:00,4.51,0.0,4.4289,19:58:00,4.49,session_end,-0.02,11086,-221.72,0.0811,2.0,0
SHPH,2026-01-20,11,7,05:48:00,1.8,0.0,1.7756,05:49:00,1.8178,trailing_stop,0.0178,27777,493.74,0.0244,1.0,0
SHPH,2026-01-20,25,8,07:37:00,1.87,0.0,1.8554,07:41:00,1.8554,stop_hit,-0.0146,26737,-391.7,0.0146,4.0,0
POLA,2026-01-20,10,7,08:58:00,2.15,0.0,2.1147,09:00:00,2.1147,stop_hit,-0.0353,23255,-820.9,0.0353,2.0,0
BTTC,2026-01-20,10,7,13:56:00,2.39,0.0,2.3768,13:57:00,2.4034,trailing_stop,0.0134,20920,280.78,0.0132,1.0,0
BTTC,2026-01-20,29,8,18:26:00,2.25,0.0,2.1646,18:43:00,2.1646,stop_hit,-0.0854,11706,-999.99,0.0854,17.0,0
POLA,2026-01-20,38,7,19:23:00,2.39,0.0,2.3541,19:28:00,2.4321,trailing_stop,0.0421,20920,879.69,0.0359,5.0,0
TWG,2026-01-20,19,8,19:31:00,4.19,0.0,4.1496,19:40:00,4.1496,stop_hit,-0.0404,11933,-482.09,0.0404,9.0,0
RYOJ,2026-01-21,7,9,08:12:00,3.12,0.0,3.0623,08:13:00,5.2812,trailing_stop,2.1612,16025,34632.63,0.0577,1.0,0
LSTA,2026-01-21,7,7,09:19:00,3.99,0.0,3.98,09:20:00,3.995,trailing_stop,0.005,12531,62.81,0.01,1.0,0
