symbol,date,wave_id,score,entry_time_et,entry_price,target,stop,exit_time_et,exit_price,exit_reason,pnl_per_share,shares,pnl,risk_per_share,duration_minutes
AGPU,2026-01-15,20,8,16:53:00,6.55,7.08,6.5465,16:59:00,6.5465,stop_hit,-0.0035,7633,-26.77,0.01,6.0
ARAI,2026-01-15,7,8,08:34:00,2.77,2.78,2.6951,08:35:00,2.78,target_hit,0.01,13359,133.59,0.0749,1.0
ARAI,2026-01-15,9,8,08:52:00,2.76,2.7893,2.7332,08:54:00,2.7332,stop_hit,-0.0268,18115,-486.39,0.0268,2.0
BNKK,2026-01-15,14,8,19:21:00,3.71,3.78,3.7007,19:32:00,3.71,time_stop,0.0,13477,0.0,0.01,11.0
BNKK,2026-01-15,18,7,19:56:00,3.71,3.76,3.7007,19:58:00,3.71,session_end,0.0,13477,0.0,0.01,2.0
CEPT,2026-01-15,7,8,11:37:00,11.9015,12.33,11.8303,11:44:00,11.8303,stop_hit,-0.0712,4201,-298.9,0.0712,7.0
CEPT,2026-01-15,9,8,11:57:00,11.935,12.0999,11.8204,11:58:00,11.935,session_end,0.0,4189,0.0,0.1146,1.0
NUWE,2026-01-15,4,7,10:29:00,2.2831,2.29,2.2444,10:31:00,2.29,target_hit,0.0069,12911,89.09,0.0387,2.0
QMCO,2026-01-15,5,7,10:18:00,7.7768,7.79,7.678,10:19:00,7.79,target_hit,0.0132,5058,66.77,0.0988,1.0
ACCL,2026-01-16,23,7,19:28:00,2.25,2.32,2.2244,19:39:00,2.2303,time_stop,-0.0197,19550,-385.13,0.0256,11.0
BDRX,2026-01-16,10,7,09:01:00,2.18,2.24,2.1646,09:02:00,2.1646,stop_hit,-0.0154,22935,-353.77,0.0154,1.0
BDRX,2026-01-16,17,7,10:10:00,2.22,2.23,2.1632,10:15:00,2.23,target_hit,0.01,8799,87.99,0.0568,5.0
BIYA,2026-01-16,13,7,17:42:00,5.79,6.5,5.7755,17:53:00,5.83,time_stop,0.04,8635,345.4,0.0145,11.0
LCFY,2026-01-16,17,10,19:56:00,4.51,4.52,4.4289,19:58:00,4.49,session_end,-0.02,11086,-221.72,0.0811,2.0
STKH,2026-01-16,5,7,08:47:00,1.96,2.0,1.9551,08:49:00,1.9551,stop_hit,-0.0049,25510,-125.0,0.01,2.0
STSS,2026-01-16,5,8,07:48:00,2.21,2.28,2.1646,08:00:00,2.32,time_stop,0.11,22014,2421.54,0.0454,12.0
STSS,2026-01-16,11,7,08:49:00,2.2,2.25,2.1945,08:50:00,2.1945,stop_hit,-0.0055,22727,-125.0,0.01,1.0
STSS,2026-01-16,13,9,08:52:00,2.2,2.25,2.1795,08:53:00,2.1795,stop_hit,-0.0205,22727,-465.05,0.0205,1.0
STSS,2026-01-16,14,7,09:15:00,2.18,2.25,2.1746,09:16:00,2.1746,stop_hit,-0.0054,22935,-125.0,0.01,1.0
STSS,2026-01-16,19,7,09:43:00,2.15,2.21,2.1473,09:44:00,2.21,target_hit,0.06,23255,1395.3,0.01,1.0
TNMG,2026-01-16,21,8,19:48:00,3.33,3.42,3.3217,19:49:00,3.3217,stop_hit,-0.0083,15015,-125.0,0.01,1.0
BTTC,2026-01-20,10,7,13:56:00,2.39,2.5699,2.3768,14:07:00,2.481,time_stop,0.091,20920,1903.72,0.0132,11.0
BTTC,2026-01-20,29,8,18:26:00,2.25,2.28,2.1646,18:30:00,2.28,target_hit,0.03,11706,351.18,0.0854,4.0
SHPH,2026-01-20,11,7,05:48:00,1.8,1.89,1.7756,05:52:00,1.7756,stop_hit,-0.0244,20449,-499.98,0.0244,4.0
SHPH,2026-01-20,25,8,07:37:00,1.87,1.89,1.8554,07:41:00,1.8554,stop_hit,-0.0146,26737,-391.7,0.0146,4.0
TWG,2026-01-20,19,8,19:31:00,4.19,4.21,4.1496,19:40:00,4.1496,stop_hit,-0.0404,11933,-482.09,0.0404,9.0
AQMS,2026-01-21,11,8,14:27:00,5.665,5.74,5.6282,14:29:00,5.74,target_hit,0.075,8826,661.95,0.0368,2.0
AQMS,2026-01-21,12,7,14:48:00,5.66,5.74,5.6359,14:52:00,5.74,target_hit,0.08,8833,706.64,0.0241,4.0
AQMS,2026-01-21,22,7,17:26:00,5.55,5.68,5.4863,17:35:00,5.68,target_hit,0.13,7843,1019.59,0.0637,9.0
LSTA,2026-01-21,7,7,09:19:00,3.99,4.01,3.98,09:25:00,3.98,stop_hit,-0.01,12531,-125.0,0.01,6.0
LSTA,2026-01-21,10,8,16:19:00,4.06,4.09,4.0299,16:22:00,4.09,target_hit,0.03,12315,369.45,0.0301,3.0
MLEC,2026-01-21,10,8,11:14:00,6.78,9.8897,6.4838,11:25:00,6.645,time_stop,-0.135,3375,-455.63,0.2962,11.0
