strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,anchor_type,anchor_date
AVWAP-Pullback,NVDA,2024-04-05,long,2024-04-05T11:01:00,2024-04-05T11:06:00,877.9,876.2097343455757,876.2097343455757,881.2805313088485,591,1000.0,-998.9470017647328,-0.9989470017647328,stop,gap_day,2024-04-02
AVWAP-Pullback,TSLA,2024-04-05,long,2024-04-05T09:41:00,2024-04-05T09:42:00,167.67,168.52551751739614,167.2422412413019,168.52551751739614,2337,1000.0,1999.344438154806,1.999344438154806,target,gap_day,2024-04-02
AVWAP-Pullback,NVDA,2024-04-08,short,2024-04-08T10:50:00,2024-04-08T10:51:00,878.85,879.8435620077498,879.8435620077498,876.8628759845004,310,1000.0,-308.0042224024385,-0.30800422240243847,stop,gap_day,2024-04-02
AVWAP-Pullback,TSLA,2024-04-09,long,2024-04-09T12:22:00,2024-04-09T12:30:00,175.65,175.1512290390872,175.1512290390872,176.6475419218256,669,1000.0,-333.6777728506587,-0.3336777728506587,stop,gap_day,2024-04-08
AVWAP-Pullback,NVDA,2024-04-10,short,2024-04-10T10:02:00,2024-04-10T10:05:00,866.66,864.695,869.069774707151,861.8404505856978,414,1000.0,813.5099999999661,0.8135099999999661,trail_stop,gap_day,2024-04-02
AVWAP-Pullback,TSLA,2024-04-10,long,2024-04-10T09:45:00,2024-04-10T09:46:00,173.05,172.6139833358274,172.6139833358274,173.9220333283452,2293,1000.0,-999.7862109477677,-0.9997862109477677,stop,gap_day,2024-04-08
AVWAP-Pullback,TSLA,2024-04-11,short,2024-04-11T11:28:00,2024-04-11T11:38:00,170.76,171.32773156708905,171.32773156708905,169.62453686582188,1761,1000.0,-999.7752896438259,-0.9997752896438259,stop,gap_day,2024-04-10
AVWAP-Pullback,NVDA,2024-04-12,long,2024-04-12T13:36:00,2024-04-12T13:42:00,883.77,885.9675663041662,882.6712168479169,885.9675663041662,481,1000.0,1057.0293923039567,1.0570293923039566,target,gap_day,2024-04-02
AVWAP-Pullback,TSLA,2024-04-12,short,2024-04-12T09:36:00,2024-04-12T09:38:00,172.34,173.1827724917358,173.1827724917358,170.65445501652843,1186,1000.0,-999.5281751986427,-0.9995281751986427,stop,gap_day,2024-04-10
AVWAP-Pullback,NVDA,2024-04-15,long,2024-04-15T11:20:00,2024-04-15T11:21:00,883.99,883.5084468406527,883.5084468406527,884.9531063186946,564,1000.0,-271.59598187187703,-0.27159598187187706,stop,gap_day,2024-04-02
AVWAP-Pullback,NVDA,2024-04-16,long,2024-04-16T10:12:00,2024-04-16T10:13:00,875.35,874.7778911245144,874.7778911245144,876.4942177509712,851,1000.0,-486.8646530382309,-0.4868646530382309,stop,gap_day,2024-04-02
AVWAP-Pullback,TSLA,2024-04-17,short,2024-04-17T11:05:00,2024-04-17T11:15:00,155.56,155.51999999999998,155.79785918278478,155.08428163443045,987,1000.0,39.4800000000202,0.0394800000000202,trail_stop,gap_day,2024-04-16
AVWAP-Pullback,TSLA,2024-04-19,short,2024-04-19T10:16:00,2024-04-19T10:18:00,149.33,149.84331926861682,149.84331926861682,148.3033614627664,1948,1000.0,-999.9459352655489,-0.9999459352655489,stop,gap_day,2024-04-18
AVWAP-Pullback,TSLA,2024-04-22,short,2024-04-22T13:40:00,2024-04-22T13:53:00,142.74,143.15728589394234,143.15728589394234,141.90542821211534,525,1000.0,-219.07509431972585,-0.21907509431972585,stop,gap_day,2024-04-18
AVWAP-Pullback,META,2024-04-24,short,2024-04-24T10:10:00,2024-04-24T10:12:00,500.62,498.9691585821565,501.44542070892174,498.9691585821565,407,1000.0,671.8924570622966,0.6718924570622966,target,gap_day,2024-04-23
AVWAP-Pullback,TSLA,2024-04-24,short,2024-04-24T12:28:00,2024-04-24T12:31:00,159.1,157.93020190362998,159.684899048185,157.93020190362998,1709,1000.0,1999.1849466963574,1.9991849466963574,target,gap_day,2024-04-22
AVWAP-Pullback,META,2024-04-25,short,2024-04-25T11:37:00,2024-04-25T11:51:00,431.52,430.285,432.82061452689805,428.91877094620384,768,1000.0,948.4799999999668,0.9484799999999668,trail_stop,gap_day,2024-04-24
AVWAP-Pullback,TSLA,2024-04-25,long,2024-04-25T12:37:00,2024-04-25T12:38:00,163.34,163.07468905953755,163.07468905953755,163.87062188092492,776,1000.0,-205.88128979886574,-0.20588128979886575,stop,gap_day,2024-04-24
AVWAP-Pullback,META,2024-04-26,long,2024-04-26T10:34:00,2024-04-26T10:35:00,433.29,433.4294449322212,433.22027753388943,433.4294449322212,1488,1000.0,207.49405914511772,0.2074940591451177,target,gap_day,2024-04-25
AVWAP-Pullback,TSLA,2024-04-26,long,2024-04-26T14:37:00,2024-04-26T14:40:00,167.63,167.18618755932508,167.18618755932508,168.51762488134983,806,1000.0,-357.7128271839841,-0.35771282718398406,stop,gap_day,2024-04-24
AVWAP-Pullback,META,2024-04-29,long,2024-04-29T11:44:00,2024-04-29T11:45:00,431.35,431.02724699273614,431.02724699273614,431.9955060145278,673,1000.0,-217.21277388859409,-0.21721277388859409,stop,gap_day,2024-04-25
AVWAP-Pullback,AAPL,2024-04-30,long,2024-04-30T11:16:00,2024-04-30T11:31:00,173.95,173.7167194873265,173.7167194873265,174.416561025347,1120,1000.0,-261.27417419432277,-0.26127417419432275,stop,gap_day,2024-04-29
AVWAP-Pullback,META,2024-04-30,short,2024-04-30T12:49:00,2024-04-30T13:03:00,430.81,431.72976373429117,431.72976373429117,428.97047253141767,399,1000.0,-366.9857299821753,-0.3669857299821753,stop,gap_day,2024-04-25
