date,time_et_or_event,equity
session_open,float,30000.0
2026-01-16,19:41:00,48329.53
2026-01-16,19:49:00,48204.91
2026-01-16,19:58:00,48019.97
2026-01-20,05:49:00,48514.4
2026-01-20,07:41:00,48124.04
2026-01-20,09:00:00,47374.06
2026-01-20,13:57:00,47654.39
2026-01-20,18:43:00,46904.41
2026-01-20,19:28:00,47783.92
2026-01-20,19:40:00,47301.83
2026-01-21,08:13:00,75393.11
2026-01-21,09:20:00,75455.76
2026-01-21,09:36:00,74705.88
2026-01-21,11:00:00,75355.15
2026-01-21,11:04:00,75766.8
2026-01-21,11:57:00,75766.8
2026-01-21,11:58:00,75016.82
2026-01-21,14:28:00,75185.4
2026-01-21,14:52:00,75785.16
2026-01-21,16:10:00,76280.2
2026-01-21,16:22:00,76512.95
2026-01-21,17:34:00,77306.64
2026-01-21,17:43:00,77100.82
2026-01-21,18:49:00,78164.35
2026-01-21,19:58:00,77944.51
2026-01-22,11:17:00,79266.76
2026-01-22,11:30:00,80473.63
2026-01-22,16:48:00,80819.55
2026-01-22,19:25:00,80492.0
2026-01-22,19:44:00,80889.71
2026-01-23,09:51:00,81351.52
2026-01-23,10:36:00,82026.75
2026-01-23,11:51:00,81491.14
2026-01-23,17:45:00,81597.55
2026-01-26,06:14:00,82206.72
2026-01-26,06:57:00,82404.64
2026-01-26,09:02:00,83409.43
2026-01-26,18:17:00,83800.83
2026-01-26,19:50:00,83352.62
2026-01-27,08:21:00,82602.64
2026-01-27,08:32:00,99495.88
2026-01-27,11:10:00,99912.88
2026-01-27,15:12:00,99162.91
2026-01-27,17:10:00,100615.77
2026-01-27,18:01:00,100322.84
2026-01-28,05:33:00,100206.98
2026-01-28,06:04:00,99863.99
2026-01-28,07:48:00,100792.89
2026-01-28,08:02:00,108151.63
2026-01-28,12:52:00,107401.66
2026-01-28,13:40:00,107839.14
2026-01-28,16:38:00,107089.16
2026-01-28,16:48:00,107601.22
2026-01-28,18:36:00,106851.41
2026-01-28,19:34:00,106493.94
2026-01-29,11:06:00,106368.65
2026-01-29,11:26:00,106693.47
2026-01-30,06:33:00,107335.83
2026-01-30,06:58:00,106981.01
2026-01-30,07:16:00,106231.04
2026-01-30,17:11:00,106987.88
2026-01-30,17:56:00,106683.93
2026-01-30,19:35:00,105933.93
2026-02-02,13:43:00,105708.61
2026-02-02,13:54:00,106184.4
2026-02-02,14:27:00,105783.85
2026-02-02,14:38:00,106261.1
2026-02-02,14:53:00,106639.52
2026-02-02,14:57:00,107425.2
2026-02-02,15:11:00,109777.34
2026-02-02,17:24:00,110111.1
2026-02-02,18:10:00,109793.8
2026-02-02,18:28:00,109043.84
2026-02-02,19:17:00,109648.77
2026-02-02,19:28:00,109144.98
2026-02-02,19:58:00,108637.32
2026-02-03,11:56:00,107940.87
2026-02-03,12:31:00,108210.87
2026-02-03,15:50:00,108752.24
2026-02-03,19:45:00,108246.54
2026-02-03,19:55:00,108352.92
2026-02-04,05:50:00,108228.66
2026-02-04,09:06:00,107998.85
2026-02-04,09:31:00,107567.88
2026-02-04,12:14:00,107364.75
2026-02-05,10:46:00,106615.04
2026-02-05,17:00:00,107369.63
2026-02-05,17:06:00,107244.51
2026-02-05,17:52:00,107830.57
2026-02-05,18:27:00,107947.35
2026-02-06,10:26:00,107197.42
2026-02-06,18:01:00,108069.79
2026-02-09,09:08:00,108619.68
2026-02-09,09:12:00,109031.93
2026-02-09,09:17:00,108281.96
2026-02-09,09:51:00,108527.76
2026-02-09,11:58:00,108256.2
2026-02-10,06:03:00,109023.88
2026-02-10,09:00:00,109146.02
2026-02-10,09:14:00,109676.37
2026-02-10,11:24:00,109425.43
2026-02-10,12:08:00,109618.85
2026-02-10,12:57:00,109494.18
2026-02-10,13:04:00,109538.41
2026-02-10,15:36:00,109736.52
2026-02-10,19:26:00,109249.83
2026-02-11,09:17:00,108810.3
2026-02-11,11:14:00,110016.23
2026-02-12,07:33:00,110546.73
2026-02-12,09:24:00,110252.53
2026-02-12,09:32:00,110126.8
2026-02-12,10:54:00,111685.43
2026-02-12,11:57:00,113778.96
2026-02-13,09:52:00,113028.99
2026-02-13,10:08:00,113451.78
2026-02-13,10:58:00,113451.78
2026-02-13,11:09:00,113868.3
2026-02-13,11:43:00,113118.63
2026-02-13,11:54:00,113649.73
2026-02-13,11:55:00,113332.53
2026-02-17,19:28:00,112759.18
2026-02-18,10:31:00,113174.95
2026-02-18,19:04:00,113553.4
2026-02-20,11:30:00,112954.28
2026-02-23,08:24:00,126078.75
2026-02-23,10:52:00,125737.91
2026-02-23,10:58:00,124987.94
2026-02-23,11:06:00,124434.3
2026-02-23,11:34:00,123684.31
2026-02-24,10:38:00,124207.99
2026-02-24,11:02:00,124639.02
2026-02-24,11:26:00,125013.08
2026-02-24,11:58:00,125623.76
2026-02-25,10:57:00,126005.8
2026-02-25,11:44:00,125826.08
2026-02-25,11:48:00,126035.17
2026-02-26,11:40:00,125840.24
2026-02-26,11:51:00,125952.91
2026-02-27,09:15:00,125750.42
2026-02-27,09:32:00,125925.52
2026-02-27,11:06:00,125761.51
2026-02-27,11:11:00,125035.02
2026-02-27,11:40:00,124285.07
2026-03-04,08:39:00,124642.2
2026-03-04,09:21:00,124033.0
2026-03-04,10:32:00,123283.06
2026-03-05,09:31:00,124206.61
2026-03-05,18:43:00,124081.61
2026-03-05,19:58:00,123399.81
2026-03-09,10:41:00,125329.64
2026-03-09,15:29:00,125158.87
2026-03-09,16:41:00,125845.18
2026-03-09,17:16:00,126240.03
2026-03-09,19:32:00,125730.44
2026-03-10,09:40:00,126929.22
2026-03-11,10:24:00,126179.25
2026-03-12,11:00:00,125429.26
2026-03-12,13:01:00,125738.76
2026-03-12,13:57:00,124988.79
2026-03-12,14:16:00,125386.29
2026-03-12,16:59:00,126359.6
2026-03-12,17:19:00,126892.3
2026-03-12,18:44:00,127536.94
2026-03-18,09:46:00,128757.87
2026-03-18,10:29:00,128521.8
2026-03-18,10:30:00,128961.25
2026-03-18,11:58:00,128853.93
2026-03-18,17:53:00,129458.34
2026-03-18,18:17:00,130269.11
2026-03-18,18:57:00,130346.73
2026-03-19,11:08:00,130819.18
2026-03-19,19:23:00,130952.77
2026-03-20,11:00:00,131946.96
2026-03-23,09:03:00,132336.33
2026-03-23,19:27:00,131586.35
2026-03-24,09:15:00,132350.15
2026-03-24,11:37:00,132344.2
2026-03-26,04:54:00,133584.68
2026-03-26,05:10:00,133459.43
2026-03-26,07:31:00,133907.6
2026-03-26,08:00:00,134200.74
2026-03-26,09:31:00,137156.64
2026-03-26,09:35:00,136406.79
2026-03-26,09:41:00,137256.79
2026-03-26,09:53:00,137727.29
2026-03-26,11:04:00,139912.4
2026-03-26,11:25:00,140009.83
2026-03-26,11:40:00,140792.91
2026-03-26,11:47:00,141010.22
2026-03-26,11:52:00,141940.63
2026-03-26,12:30:00,142321.43
2026-03-26,12:31:00,141639.7
2026-03-26,13:55:00,142564.22
2026-03-26,14:05:00,142965.53
2026-03-26,14:25:00,143376.76
2026-03-26,14:35:00,144599.4
2026-03-26,15:16:00,144474.14
2026-03-26,15:26:00,144928.76
2026-03-26,15:47:00,145682.84
2026-03-26,16:37:00,146266.87
2026-03-26,17:10:00,145516.9
2026-03-26,17:12:00,145823.17
2026-03-26,19:15:00,146027.07
2026-03-26,19:39:00,146517.58
2026-03-26,19:39:00,145767.62
2026-03-26,19:49:00,146576.64
2026-03-26,19:49:00,146825.94
2026-03-26,19:57:00,146825.94
2026-03-26,19:57:00,146825.94
2026-03-27,17:47:00,147363.94
2026-03-27,19:51:00,147268.69
2026-03-30,04:54:00,146518.73
2026-03-30,06:24:00,147149.46
2026-03-31,14:41:00,146549.46
2026-03-31,16:50:00,145799.47
2026-03-31,17:25:00,145049.52
2026-03-31,17:30:00,144924.53
2026-03-31,18:27:00,144799.53
2026-03-31,18:40:00,144462.67
2026-03-31,18:55:00,143712.71
2026-03-31,19:00:00,143110.82
2026-03-31,19:21:00,143479.34
2026-04-01,05:45:00,144055.36
2026-04-01,09:13:00,144471.08
2026-04-01,09:21:00,143721.53
2026-04-01,10:57:00,142972.02
2026-04-01,17:29:00,143340.54
2026-04-01,19:04:00,142944.88
2026-04-01,19:32:00,142620.7
2026-04-01,19:40:00,141870.71
2026-04-01,19:58:00,141120.72
2026-04-02,06:41:00,140865.48
2026-04-02,07:02:00,140464.17
2026-04-02,07:08:00,139714.23
2026-04-02,08:59:00,140088.23
2026-04-02,12:08:00,139338.26
2026-04-02,12:23:00,140120.9
2026-04-02,12:28:00,140428.57
2026-04-02,12:44:00,140157.19
2026-04-02,14:11:00,139473.38
2026-04-02,15:04:00,138880.66
2026-04-02,15:13:00,138205.62
2026-04-02,15:33:00,138460.42
2026-04-02,17:27:00,138663.21
2026-04-02,18:26:00,138223.22
2026-04-02,19:16:00,138504.54
2026-04-02,19:28:00,138840.52
2026-04-02,19:55:00,138090.57
2026-04-02,19:59:00,137509.21
2026-04-06,09:13:00,139318.17
2026-04-06,11:01:00,139740.95
2026-04-06,13:46:00,139922.94
2026-04-06,14:06:00,139434.67
2026-04-06,14:29:00,139668.32
2026-04-06,14:51:00,139918.32
2026-04-06,15:01:00,139484.91
2026-04-06,16:21:00,138734.94
2026-04-06,16:50:00,138078.99
2026-04-06,17:03:00,137327.4
2026-04-06,17:33:00,137202.94
2026-04-06,17:43:00,136452.95
2026-04-06,18:29:00,137076.21
2026-04-06,19:28:00,136861.44
2026-04-06,19:58:00,136861.44
2026-04-06,19:59:00,136861.44
2026-04-07,10:39:00,138040.69
2026-04-07,11:38:00,138567.51
2026-04-07,16:44:00,139081.32
2026-04-07,16:48:00,139517.8
2026-04-07,17:23:00,140734.32
2026-04-07,17:36:00,139984.32
2026-04-07,17:43:00,140205.89
2026-04-07,17:47:00,140867.92
2026-04-07,18:04:00,140427.28
2026-04-07,19:01:00,140301.9
2026-04-07,19:26:00,140485.52
2026-04-07,19:55:00,141587.38
2026-04-07,19:59:00,141607.49
2026-04-08,06:34:00,142172.94
2026-04-08,07:11:00,143265.51
2026-04-08,08:27:00,142829.35
2026-04-08,08:28:00,142404.66
2026-04-08,08:35:00,141654.72
2026-04-08,09:33:00,142566.78
2026-04-08,10:23:00,142344.75
2026-04-08,10:44:00,142118.69
2026-04-08,10:56:00,142419.54
2026-04-08,11:31:00,141995.89
2026-04-08,12:10:00,142752.92
2026-04-08,13:36:00,143047.21
2026-04-08,16:42:00,142297.26
2026-04-08,17:22:00,141992.76
2026-04-08,17:53:00,142882.92
2026-04-08,18:02:00,143092.53
2026-04-08,18:31:00,142967.53
2026-04-08,19:05:00,143640.59
2026-04-08,19:30:00,143989.74
2026-04-08,19:51:00,143989.74
2026-04-09,07:45:00,143619.78
2026-04-09,07:49:00,143365.93
2026-04-09,09:19:00,144040.25
2026-04-09,09:35:00,143290.27
2026-04-09,12:49:00,142975.88
2026-04-09,13:28:00,142474.02
2026-04-09,16:06:00,141724.08
2026-04-09,17:05:00,141599.34
2026-04-09,17:16:00,141474.34
2026-04-09,17:17:00,141053.41
2026-04-09,17:25:00,141769.97
2026-04-09,17:32:00,142445.36
2026-04-09,17:41:00,141837.3
2026-04-09,18:56:00,142105.51
2026-04-09,19:37:00,141980.28
2026-04-09,19:46:00,143273.34
2026-04-09,19:56:00,143050.9
2026-04-10,10:24:00,143221.5
2026-04-10,16:35:00,142471.51
2026-04-10,16:56:00,143106.6
2026-04-10,17:19:00,142589.58
2026-04-10,17:29:00,142789.84
2026-04-10,18:19:00,143584.11
2026-04-10,19:58:00,143023.01
2026-04-13,05:31:00,144241.29
2026-04-13,05:57:00,144720.8
2026-04-13,07:33:00,144475.02
2026-04-13,07:57:00,143725.04
2026-04-13,08:09:00,143114.36
2026-04-13,08:32:00,143947.77
2026-04-13,08:57:00,143396.47
2026-04-13,09:58:00,142646.55
2026-04-13,10:48:00,142297.46
2026-04-13,11:00:00,142702.55
2026-04-13,11:09:00,141952.58
2026-04-13,11:38:00,141202.6
2026-04-13,11:56:00,141077.6
2026-04-13,12:15:00,141266.88
2026-04-13,12:23:00,141465.85
2026-04-13,12:38:00,140725.13
2026-04-13,12:52:00,140600.81
2026-04-13,15:57:00,141720.3
2026-04-14,06:56:00,141593.63
2026-04-14,07:48:00,143625.27
2026-04-14,08:38:00,143624.03
2026-04-14,09:13:00,143262.7
