fill_ts,symbol,session_date,winning_strategy,blocked_strategy,blocked_direction,blocked_intended_entry_price
2020-01-09 15:50:00,F,2020-01-09,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-10 09:42:00,INTC,2020-01-10,Round-Number,ORB-5min,long,
2020-01-10 09:42:00,INTC,2020-01-10,Round-Number,PDH-PDL-Breakout,long,
2020-01-10 09:48:00,AAL,2020-01-10,ORB-5min,PDH-PDL-Breakout,short,
2020-01-10 09:58:00,AAPL,2020-01-10,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-10 09:58:00,AAPL,2020-01-10,VWAP-Mean-Reversion,PDH-PDL-Breakout,long,
2020-01-10 10:01:00,QCOM,2020-01-10,ORB-5min,PDH-PDL-Breakout,long,
2020-01-10 10:03:00,F,2020-01-10,PDH-PDL-Breakout,PDH-PDL-Fade,short,
2020-01-10 10:04:00,MSFT,2020-01-10,ORB-5min,PDH-PDL-Breakout,long,
2020-01-10 10:13:00,NKE,2020-01-10,PDH-PDL-Fade,ORB-5min,short,
2020-01-10 10:15:00,AMD,2020-01-10,ORB-5min,PDH-PDL-Fade,long,
2020-01-10 10:28:00,NKE,2020-01-10,PDH-PDL-Fade,PDH-PDL-Breakout,short,
2020-01-10 10:51:00,INTC,2020-01-10,Round-Number,PDH-PDL-Fade,short,
2020-01-10 11:03:00,BAC,2020-01-10,PDH-PDL-Fade,PDH-PDL-Breakout,short,
2020-01-10 12:07:00,MSFT,2020-01-10,ORB-5min,PDH-PDL-Fade,short,
2020-01-10 12:08:00,AMD,2020-01-10,ORB-5min,PDH-PDL-Breakout,short,
2020-01-10 12:29:00,MU,2020-01-10,PDH-PDL-Breakout,PDH-PDL-Fade,long,
2020-01-10 13:08:00,CSCO,2020-01-10,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-10 13:23:00,ORCL,2020-01-10,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-10 15:28:00,DIS,2020-01-10,PDH-PDL-Breakout,PDH-PDL-Fade,long,
2020-01-13 10:49:00,CSCO,2020-01-13,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-13 10:52:00,NFLX,2020-01-13,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-13 11:54:00,ORCL,2020-01-13,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-13 12:04:00,ORCL,2020-01-13,VWAP-Mean-Reversion,Round-Number,short,
2020-01-13 12:10:00,BAC,2020-01-13,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-13 12:10:00,WFC,2020-01-13,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-13 12:13:00,MSFT,2020-01-13,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-13 12:47:00,AAPL,2020-01-13,VWAP-Mean-Reversion,ORB-5min,long,
2020-01-13 14:38:00,NVDA,2020-01-13,ORB-5min,VWAP-Mean-Reversion,short,
2020-01-14 09:52:00,NKE,2020-01-14,ORB-5min,PDH-PDL-Breakout,long,
2020-01-14 09:55:00,CSCO,2020-01-14,PDH-PDL-Fade,ORB-5min,short,
2020-01-14 09:58:00,AAL,2020-01-14,PDH-PDL-Breakout,ORB-5min,long,
2020-01-14 10:03:00,WFC,2020-01-14,ORB-5min,PDH-PDL-Breakout,short,
2020-01-14 10:06:00,AVGO,2020-01-14,ORB-5min,PDH-PDL-Breakout,long,
2020-01-14 10:08:00,CRM,2020-01-14,ORB-5min,VWAP-Mean-Reversion,short,
