strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,secondary_fill
PDH-PDL-Fade,AAPL,2020-09-10,short,2020-09-10T09:37:00,2020-09-10T09:38:00,118.82,119.22999999999999,119.22999999999999,115.27,2439,1000.0,-999.9899999999917,-0.9999899999999917,stop,False
PDH-PDL-Fade,CRM,2020-09-10,short,2020-09-10T09:37:00,2020-09-10T09:38:00,252.54,253.57,253.57,242.95,232,1000.0,-238.96000000000026,-0.23896000000000026,stop,False
PDH-PDL-Fade,INTC,2020-09-10,short,2020-09-10T09:37:00,2020-09-10T14:27:00,49.75,49.04,50.06,49.04,2610,1000.0,1853.1000000000022,1.8531000000000022,target,False
PDH-PDL-Fade,BAC,2020-09-10,short,2020-09-10T09:38:00,2020-09-10T09:46:00,25.68,25.815,25.815,25.24,1975,1000.0,-266.62500000000307,-0.26662500000000305,stop,False
PDH-PDL-Fade,SNAP,2020-09-10,short,2020-09-10T09:41:00,2020-09-10T10:04:00,24.01,24.12,24.12,22.875,1199,1000.0,-131.8899999999993,-0.1318899999999993,stop,False
PDH-PDL-Fade,NVDA,2020-09-10,short,2020-09-10T09:51:00,2020-09-10T09:52:00,512.24,512.44,512.44,489.31,724,1000.0,-144.80000000003292,-0.14480000000003293,stop,False
PDH-PDL-Fade,NKE,2020-09-10,short,2020-09-10T10:47:00,2020-09-10T11:19:00,116.15,116.32,116.32,112.83,149,1000.0,-25.329999999998137,-0.025329999999998135,stop,False
PDH-PDL-Fade,ORCL,2020-09-10,short,2020-09-10T11:01:00,2020-09-10T11:04:00,57.36,57.5,57.5,55.87,492,1000.0,-68.88000000000028,-0.06888000000000027,stop,False
PDH-PDL-Fade,AVGO,2020-09-10,short,2020-09-10T12:18:00,2020-09-10T12:19:00,361.54,361.99,361.99,351.25,80,1000.0,-35.99999999999909,-0.03599999999999909,stop,True
PDH-PDL-Fade,ADBE,2020-09-10,short,2020-09-10T12:39:00,2020-09-10T12:40:00,482.91,483.56,483.56,462.42,86,1000.0,-55.899999999998045,-0.05589999999999804,stop,True
PDH-PDL-Fade,QCOM,2020-09-10,long,2020-09-10T14:33:00,2020-09-10T14:34:00,112.39,112.2,112.2,115.74,292,1000.0,-55.479999999999336,-0.055479999999999335,stop,True
