strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,secondary_fill
Round-Number,QCOM,2022-04-25,short,2022-04-25T10:50:00,2022-04-25T14:30:00,134.89,135.1,135.1,130.0,356,1000.0,-74.76000000000283,-0.07476000000000284,stop,False
Round-Number,AMD,2022-04-25,long,2022-04-25T10:57:00,2022-04-25T11:05:00,90.2,89.9,89.9,95.0,1548,1000.0,-464.3999999999956,-0.4643999999999956,stop,False
Round-Number,NKE,2022-04-25,long,2022-04-25T11:51:00,2022-04-25T12:00:00,125.1,124.9,124.9,130.0,164,1000.0,-32.799999999998136,-0.032799999999998136,stop,False
Round-Number,ROKU,2022-04-25,long,2022-04-25T12:12:00,2022-04-25T13:01:00,100.09,99.9,99.9,105.0,140,1000.0,-26.59999999999968,-0.026599999999999683,stop,False
Round-Number,DIS,2022-04-25,long,2022-04-25T14:54:00,2022-04-25T14:57:00,120.21,119.9,119.9,125.0,207,1000.0,-64.16999999999753,-0.06416999999999753,stop,True
Round-Number,NKE,2022-04-26,long,2022-04-26T10:00:00,2022-04-26T10:11:00,125.04,124.9,124.9,130.0,122,1000.0,-17.08000000000007,-0.01708000000000007,stop,False
Round-Number,QCOM,2022-04-26,short,2022-04-26T14:20:00,2022-04-26T14:21:00,134.86,135.1,135.1,130.0,214,1000.0,-51.359999999995864,-0.05135999999999587,stop,False
Round-Number,ROKU,2022-04-26,short,2022-04-26T14:57:00,2022-04-26T15:00:00,94.87,95.1,95.1,90.0,171,1000.0,-39.32999999999825,-0.03932999999999825,stop,True
Round-Number,ORCL,2022-04-27,long,2022-04-27T10:14:00,2022-04-27T10:15:00,75.03,74.9,74.9,80.0,167,1000.0,-21.70999999999924,-0.02170999999999924,stop,False
Round-Number,DIS,2022-04-27,long,2022-04-27T15:18:00,2022-04-27T15:21:00,115.06,114.9,114.9,120.0,249,1000.0,-39.83999999999915,-0.039839999999999154,stop,True
