symbol,date,fund_gap_pct,fund_float_shares,fund_price_at_sim_start,sm_new_high_count_30m,sm_new_high_cadence_avg_sec,sm_new_high_cadence_stdev_sec,sm_pullback_count_30m,sm_pullback_depth_avg_pct,sm_pullback_depth_max_pct,sm_pullback_recovery_avg_sec,sm_vol_spike_count_30m,sm_vol_total_30m,sm_vol_first_5m,sm_vol_last_5m_of_30,sm_vol_decay_ratio,sm_green_bar_ratio_30m,sm_max_consecutive_green,sm_max_consecutive_red,sm_price_range_30m_pct,sm_upper_wick_ratio_avg,sm_upper_wick_ratio_last_10m,sm_body_ratio_avg,sm_body_ratio_last_10m,sm_pct_bars_above_vwap_30m,sm_vwap_cross_count_30m,sm_max_vwap_distance_pct,sm_price_at_5m,sm_price_at_10m,sm_price_at_15m,sm_price_at_30m,sm_price_at_60m,sm_high_at_30m,sm_high_at_60m,sm_low_at_30m,sm_low_at_60m,trade_num,entry_price,entry_time,stop,r,score,score_detail,tags,exit_price,exit_time,exit_reason,pnl,r_multiple,qty,hold_time_sec,peak_price,peak_time,peak_unrealized_r,time_to_peak_sec,drawdown_from_peak_at_exit_pct,price_1m_after_exit,price_5m_after_exit,price_10m_after_exit,price_30m_after_exit,high_after_exit_30m,low_after_exit_30m,left_on_table_pct
ONMD,2026-02-27,67.98979302523391,16.408374,0.7054,5,240.0,229.8,2,16.51,32.08,1410.0,4,18868783,1283327,1272260,0.991,0.53,5,3,50.28,0.25,0.119,0.497,0.572,0.33,4,7.92,0.6987,0.7137,0.7137,1.0099,1.0997,1.05,1.1,0.6987,0.6987,1,1.04,08:53,0.89,0.15,5.5,macd=7.5*0.6;R>=0.08=+1,[],0.9614,08:53,bearish_engulfing_exit_full,-523.95,-0.52,6666,0,1.04,,0.0,0,7.56,0.9345,0.9674,1.005,0.9869,1.05,0.861,100.0
ONMD,2026-02-27,67.98979302523391,16.408374,0.7054,5,240.0,229.8,2,16.51,32.08,1410.0,4,18868783,1283327,1272260,0.991,0.53,5,3,50.28,0.25,0.119,0.497,0.572,0.33,4,7.92,0.6987,0.7137,0.7137,1.0099,1.0997,1.05,1.1,0.6987,0.6987,2,1.03,09:01,0.94,0.09,5.5,macd=5.0*0.6;r2g=+1.5;whole=+0.5;R>=0.05=+0.5,"['r2g', 'whole']",0.9954,09:01,bearish_engulfing_exit_full,-384.44,-0.38,11111,0,1.05,09:01,0.22,0,5.2,0.9926,0.8869,0.903,1.04,1.11,0.8612,100.0
ONMD,2026-02-27,67.98979302523391,16.408374,0.7054,5,240.0,229.8,2,16.51,32.08,1410.0,4,18868783,1283327,1272260,0.991,0.53,5,3,50.28,0.25,0.119,0.497,0.572,0.33,4,7.92,0.6987,0.7137,0.7137,1.0099,1.0997,1.05,1.1,0.6987,0.6987,3,1.12,09:30,0.966,0.154,12.5,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",1.0594,09:31,bearish_engulfing_exit_full,-393.48,-0.39,6493,60,1.12,,0.0,0,5.41,1.075,0.9945,1.0413,1.15,1.17,0.9312,100.0
ONMD,2026-02-27,67.98979302523391,16.408374,0.7054,5,240.0,229.8,2,16.51,32.08,1410.0,4,18868783,1283327,1272260,0.991,0.53,5,3,50.28,0.25,0.119,0.497,0.572,0.33,4,7.92,0.6987,0.7137,0.7137,1.0099,1.0997,1.05,1.1,0.6987,0.6987,4,1.21,10:05,1.12,0.09,12.0,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.05=+0.5,"['bull_struct', 'vol_surge', 'r2g', 'whole']",1.17,10:05,bearish_engulfing_exit_full,-444.44,-0.44,11111,0,1.21,,0.0,0,3.31,1.2163,1.215,1.21,1.2975,1.4,1.17,100.0
ONMD,2026-02-27,67.98979302523391,16.408374,0.7054,5,240.0,229.8,2,16.51,32.08,1410.0,4,18868783,1283327,1272260,0.991,0.53,5,3,50.28,0.25,0.119,0.497,0.572,0.33,4,7.92,0.6987,0.7137,0.7137,1.0099,1.0997,1.05,1.1,0.6987,0.6987,5,1.29,10:17,1.19,0.1,6.1,macd=1.0*0.6;bull_struct=+3;r2g=+1.5;R>=0.08=+1,"['bull_struct', 'r2g']",1.25,10:20,topping_wicky_exit_full,-399.96,-0.4,9999,180,1.31,10:18,0.2,60,4.58,1.24,1.355,1.355,1.31,1.4,1.22,100.0
OPTX,2026-01-06,-3.4795763993948627,5.982184,3.0,0,0.0,0.0,0,0.0,0.0,0.0,5,3427597,8664,83934,9.688,0.6,6,5,33.0,0.317,0.393,0.489,0.489,0.27,7,11.72,3.0,3.0,3.0,3.0,2.98,,3.0,,3.0,1,3.19,08:27,3.0807,0.1093,5.5,macd=7.5*0.6;R>=0.08=+1,[],3.175,08:27,bearish_engulfing_exit_full,-137.21,-0.14,9147,0,3.31,08:27,1.1,0,4.08,3.19,3.5799,3.4394,3.1998,3.95,2.98,100.0
OPTX,2026-01-06,-3.4795763993948627,5.982184,3.0,0,0.0,0.0,0,0.0,0.0,0.0,5,3427597,8664,83934,9.688,0.6,6,5,33.0,0.317,0.393,0.489,0.489,0.27,7,11.72,3.0,3.0,3.0,3.0,2.98,,3.0,,3.0,2,3.25,08:29,3.26,0.17,5.5,macd=7.5*0.6;R>=0.08=+1,[],3.26,08:38,trail_stop,58.82,0.06,5882,540,3.95,08:29,4.12,0,17.47,3.11,3.17,3.16,3.2809,3.36,2.98,90.9
OPTX,2026-01-08,-1.3615733736762594,5.982184,2.97,0,0.0,0.0,0,0.0,0.0,0.0,5,9706,5740,751,0.131,0.93,17,1,6.53,0.163,0.0,0.776,1.0,0.37,6,1.83,2.97,2.97,2.97,2.97,2.97,,,,,1,3.07,08:04,2.97,0.1,5.0,macd=7.5*0.6;R>=0.05=+0.5,[],2.97,08:08,stop_hit,-1000.0,-1.0,10000,240,3.07,,0.0,0,3.26,2.9764,2.99,2.99,2.97,3.02,2.97,0.0
OPTX,2026-01-08,-1.3615733736762594,5.982184,2.97,0,0.0,0.0,0,0.0,0.0,0.0,5,9706,5740,751,0.131,0.93,17,1,6.53,0.163,0.0,0.776,1.0,0.37,6,1.83,2.97,2.97,2.97,2.97,2.97,,,,,2,3.72,11:58,3.585,0.135,12.0,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g']",3.6899,11:59,sim_end,-222.95,-0.22,7407,60,3.72,,0.0,0,0.81,,,,,,,
OPTX,2026-01-09,-1.3615733736762594,5.982184,3.43,2,1440.0,0.0,0,0.0,0.0,0.0,8,57991,1220,35514,29.11,0.87,10,1,7.16,0.161,0.23,0.692,0.622,0.9,2,3.48,3.43,3.48,3.48,3.48,3.47,3.48,3.48,3.43,3.43,1,4.0,09:41,3.72,0.28,12.5,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",3.8001,09:42,bearish_engulfing_exit_full,-713.84,-0.71,3571,60,4.0999,09:41,0.36,0,7.31,4.01,3.8172,3.98,4.1001,4.14,3.53,100.0
OPTX,2026-01-09,-1.3615733736762594,5.982184,3.43,2,1440.0,0.0,0,0.0,0.0,0.0,8,57991,1220,35514,29.11,0.87,10,1,7.16,0.161,0.23,0.692,0.622,0.9,2,3.48,3.43,3.48,3.48,3.48,3.47,3.48,3.48,3.43,3.43,2,3.91,09:49,3.77,0.14,11.0,macd=5.0*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g', 'whole']",3.94,09:52,topping_wicky_exit_full,214.26,0.21,7142,180,3.98,09:52,0.5,180,1.01,3.93,4.0037,3.92,4.175,4.21,3.85,90.0
OPTX,2026-01-09,-1.3615733736762594,5.982184,3.43,2,1440.0,0.0,0,0.0,0.0,0.0,8,57991,1220,35514,29.11,0.87,10,1,7.16,0.161,0.23,0.692,0.622,0.9,2,3.48,3.43,3.48,3.48,3.48,3.47,3.48,3.48,3.43,3.43,3,4.32,10:30,4.23,0.09,9.5,macd=7.5*0.6;bull_struct=+3;r2g=+1.5;R>=0.05=+0.5,"['bull_struct', 'r2g']",4.33,10:35,bearish_engulfing_exit_full,111.11,0.11,11111,300,4.4,10:32,0.89,120,1.59,4.335,4.3089,4.36,4.38,4.4,4.25,87.5
OPTX,2026-01-09,-1.3615733736762594,5.982184,3.43,2,1440.0,0.0,0,0.0,0.0,0.0,8,57991,1220,35514,29.11,0.87,10,1,7.16,0.161,0.23,0.692,0.622,0.9,2,3.48,3.43,3.48,3.48,3.48,3.47,3.48,3.48,3.43,3.43,4,4.49,11:39,4.3892,0.1008,12.0,macd=7.5*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g']",4.3801,11:40,stop_hit,-1090.21,-1.09,9920,60,4.49,,0.0,0,2.45,4.4523,4.441,4.44,,4.51,4.37,100.0
PAVM,2026-01-21,-2.595494613124393,0.72693,6.16,1,0.0,0.0,0,0.0,0.0,0.0,13,2671190,572,2559977,4475.484,0.67,7,4,157.63,0.299,0.321,0.421,0.455,0.57,7,20.9,6.21,6.21,6.21,6.21,7.0986,6.16,7.24,6.16,6.16,1,6.49,07:56,6.5,0.1,5.0,macd=7.5*0.6;R>=0.05=+0.5,[],6.21,08:00,max_loss_hit,-2588.32,-2.8,9244,240,7.24,07:59,7.5,180,14.23,7.44,7.15,7.2524,12.3076,15.87,6.59,100.0
PAVM,2026-01-21,-2.595494613124393,0.72693,6.16,1,0.0,0.0,0,0.0,0.0,0.0,13,2671190,572,2559977,4475.484,0.67,7,4,157.63,0.299,0.321,0.421,0.455,0.57,7,20.9,6.21,6.21,6.21,6.21,7.0986,6.16,7.24,6.16,6.16,2,10.05,08:18,10.06,1.522,9.5,macd=7.5*0.6;vol_surge=+2;r2g=+1.5;whole=+0.5;R>=0.08=+1,"['vol_surge', 'r2g', 'whole']",13.15,08:21,topping_wicky_exit_full,2036.7,2.04,657,180,15.87,08:19,3.82,60,17.14,13.72,12.88,11.84,13.0403,15.86,11.73,46.6
PAVM,2026-01-21,-2.595494613124393,0.72693,6.16,1,0.0,0.0,0,0.0,0.0,0.0,13,2671190,572,2559977,4475.484,0.67,7,4,157.63,0.299,0.321,0.421,0.455,0.57,7,20.9,6.21,6.21,6.21,6.21,7.0986,6.16,7.24,6.16,6.16,3,22.92,09:49,21.86,1.06,10.5,macd=5.0*0.6;bull_struct=+3;vol_surge=+2;r2g=+1.5;R>=0.08=+1,"['bull_struct', 'vol_surge', 'r2g']",22.54,09:50,bearish_engulfing_exit_full,-358.34,-0.36,943,60,23.13,09:49,0.2,0,2.55,21.725,22.75,20.7135,20.03,24.07,17.8,100.0
PBYI,2026-02-27,-24.999999999999993,38.892022,6.3,11,78.0,29.0,4,1.6,3.08,135.0,3,335948,162154,24161,0.149,0.67,8,2,9.06,0.286,0.257,0.486,0.488,0.9,1,6.25,6.57,6.7654,6.75,6.734,5.89,6.8599,6.8599,6.29,5.85,1,6.7156,09:38,6.59,0.1256,5.5,macd=7.5*0.6;R>=0.08=+1,[],6.76,09:41,topping_wicky_exit_full,353.47,0.35,7961,180,6.8,09:40,0.67,120,0.59,6.81,6.7369,6.65,6.505,6.8599,6.5,69.2
PBYI,2026-02-27,-24.999999999999993,38.892022,6.3,11,78.0,29.0,4,1.6,3.08,135.0,3,335948,162154,24161,0.149,0.67,8,2,9.06,0.286,0.257,0.486,0.488,0.9,1,6.25,6.57,6.7654,6.75,6.734,5.89,6.8599,6.8599,6.29,5.85,2,6.77,09:46,6.53,0.24,5.5,macd=5.0*0.6;r2g=+1.5;R>=0.08=+1,['r2g'],6.6901,09:46,bearish_engulfing_exit_full,-332.86,-0.33,4166,0,6.77,,0.0,0,1.18,6.61,6.65,6.735,6.33,6.8,6.315,100.0
