symbol,date,sim_start,sim_end,fund_gap_pct,fund_float_shares,fund_price_at_sim_start,new_high_count_30m,new_high_cadence_avg_sec,new_high_cadence_stdev_sec,pullback_count_30m,pullback_depth_avg_pct,pullback_depth_max_pct,pullback_recovery_avg_sec,vol_spike_count_30m,vol_total_30m,vol_first_5m,vol_last_5m_of_30,vol_decay_ratio,green_bar_ratio_30m,max_consecutive_green,max_consecutive_red,price_range_30m_pct,upper_wick_ratio_avg,upper_wick_ratio_last_10m,body_ratio_avg,body_ratio_last_10m,pct_bars_above_vwap_30m,vwap_cross_count_30m,max_vwap_distance_pct,price_at_5m,price_at_10m,price_at_15m,price_at_30m,price_at_60m,high_at_30m,high_at_60m,low_at_30m,low_at_60m,total_trades,wins,losses,net_pnl,avg_r,win_rate,avg_hold_time_sec,total_left_on_table_pct_avg,exit_mode
MRM,2026-02-27,08:00,12:00,2.199322221453769,5.821999,1.487,5,135.0,113.6,2,8.83,11.67,240.0,6,10117994,1154821,510278,0.442,0.47,3,3,34.75,0.337,0.286,0.452,0.485,0.3,4,8.88,1.5982,1.74,1.77,1.6,1.57,1.9,1.9,1.41,1.41,2,0,2,-1416.56,-0.71,0.0,150,50.0,signal
ONMD,2026-02-27,08:30,12:00,70.11624610150268,16.408374,0.7054,5,240.0,229.8,2,16.51,32.08,1410.0,4,18868783,1283327,1272260,0.991,0.53,5,3,50.28,0.25,0.119,0.497,0.572,0.33,4,7.92,0.6987,0.7137,0.7137,1.0099,1.0997,1.05,1.1,0.6987,0.6987,5,0,5,-2146.26,-0.43,0.0,48,100.0,signal
OPTX,2026-01-06,07:00,12:00,-3.91830559757943,5.982184,3.0,0,0.0,0.0,0,0.0,0.0,0.0,5,3427597,8664,83934,9.688,0.6,6,5,33.0,0.317,0.393,0.489,0.489,0.27,7,11.72,3.0,3.0,3.0,3.0,2.98,,3.0,,3.0,2,1,1,-78.39,-0.04,50.0,270,95.5,signal
PAVM,2026-01-21,07:00,12:00,-1.175318315377091,0.72693,6.16,1,0.0,0.0,0,0.0,0.0,0.0,13,2671190,572,2559977,4475.484,0.67,7,4,157.63,0.299,0.321,0.421,0.455,0.57,7,20.9,6.21,6.21,6.21,6.21,7.0986,6.16,7.24,6.16,6.16,3,1,2,-909.96,-0.37,33.3,160,82.2,signal
ROLR,2026-01-14,07:00,12:00,-3.3039647577092586,3.618155,3.54,3,540.0,169.7,1,2.75,2.75,660.0,6,2208175,3087,2171459,703.42,0.73,8,3,174.29,0.177,0.096,0.548,0.604,0.93,2,15.8,3.65,3.65,3.66,3.66,3.68,3.66,3.66,3.54,3.54,5,2,3,1413.16,0.28,40.0,624,97.6,signal
RVSN,2026-02-05,07:00,12:00,-0.832342449464926,1.772949,4.14,5,240.0,213.5,2,2.68,3.52,720.0,7,9923,580,1437,2.478,0.83,20,3,11.5,0.059,0.097,0.81,0.903,0.83,2,4.36,4.3,4.37,4.37,4.33,4.31,4.37,4.43,4.11,4.11,1,0,1,-1555.4,-1.56,0.0,3180,100.0,signal
SHPH,2026-01-09,08:04,12:00,-3.6697247706422047,1.586883,1.99,2,60.0,0.0,2,6.2,9.48,2580.0,5,80491,57928,3121,0.054,0.73,12,2,10.47,0.178,0.213,0.678,0.679,0.8,12,7.92,1.93,1.94,1.99,1.9852,1.9664,2.11,2.11,1.91,1.91,1,0,1,-1032.75,-1.03,0.0,60,0.0,signal
SLE,2026-01-23,07:00,12:00,8.71944444444444,0.656246,6.31,0,0.0,0.0,0,0.0,0.0,0.0,6,3499119,78858,191904,2.434,0.53,5,5,82.25,0.32,0.244,0.354,0.347,0.27,5,18.95,7.5,7.5,7.5,7.5,7.5,,,,,1,0,1,-389.74,-0.39,0.0,180,100.0,signal
SNSE,2026-02-18,07:00,12:00,2.514890800794181,0.858194,9.05,0,0.0,0.0,0,0.0,0.0,0.0,4,2897423,471003,247315,0.525,0.57,4,3,327.17,0.335,0.388,0.366,0.283,0.67,6,51.91,9.05,9.05,9.05,9.05,8.65,,9.05,,9.05,2,1,1,87.63,0.04,50.0,60,92.5,signal
STKH,2026-01-16,07:14,12:00,1.4184397163120581,659.966301,2.57,1,0.0,0.0,0,0.0,0.0,0.0,3,460392,385869,2918,0.008,0.57,8,4,88.24,0.281,0.325,0.46,0.4,0.03,1,30.29,1.88,1.8,1.85,1.9,3.11,3.2,3.2,1.7,1.7,1,0,1,-696.9,-0.7,0.0,60,0.0,signal
STSS,2026-01-16,07:01,12:00,-5.277777777777777,20.332709,2.35,1,0.0,0.0,0,0.0,0.0,0.0,3,238414,98443,4186,0.043,0.57,4,4,11.11,0.184,0.048,0.694,0.647,0.07,3,7.36,2.23,2.21,2.26,2.17,2.24,2.4,2.4,2.18,2.16,0,0,0,0.0,0.0,0.0,0,0.0,signal
SXTP,2026-01-28,07:00,12:00,5.067567567567564,0.937139,5.18,2,180.0,0.0,1,7.94,7.94,3660.0,8,877976,341,626358,1836.827,0.7,9,2,28.81,0.247,0.375,0.594,0.397,0.03,2,8.05,5.12,5.12,5.12,5.07,5.17,5.29,5.29,5.06,5.06,0,0,0,0.0,0.0,0.0,0,0.0,signal
TNMG,2026-01-16,07:00,12:00,-5.60436137071651,1.150951,3.71,3,150.0,127.3,1,15.48,15.48,300.0,0,4984456,1522239,138154,0.091,0.3,2,6,71.66,0.221,0.232,0.453,0.546,0.2,3,30.74,4.01,3.4,3.12,2.63,2.48,4.24,4.24,2.47,2.47,1,0,1,-480.75,-0.48,0.0,60,100.0,signal
VERO,2026-01-16,07:00,12:00,-9.06779661016949,1.624372,3.23,15,111.4,144.8,8,11.88,37.64,442.0,4,16625860,1322698,3835278,2.9,0.7,7,2,92.24,0.317,0.323,0.488,0.505,1.0,0,55.82,3.56,3.47,4.025,5.66,5.51,6.19,6.35,3.22,3.22,4,3,1,6889.82,1.72,75.0,75,89.9,signal
