
[2026-01-06] Fetching 1 symbols (0 already cached)...
  CYCN...     10,155 ticks, up to 04:09:05 ET...
    126,989 ticks, up to 07:37:49 ET...
    137,150 ticks, up to 07:44:37 ET...
    147,915 ticks, up to 07:47:08 ET...
    158,906 ticks, up to 07:48:37 ET...
    169,586 ticks, up to 07:50:26 ET...
    180,432 ticks, up to 07:51:54 ET...
    190,711 ticks, up to 07:53:13 ET...
    201,280 ticks, up to 07:54:15 ET...
    212,539 ticks, up to 07:55:00 ET...
    223,244 ticks, up to 07:56:10 ET...
    233,911 ticks, up to 07:58:20 ET...
    245,240 ticks, up to 08:00:05 ET...
    256,365 ticks, up to 08:01:03 ET...
    267,453 ticks, up to 08:01:41 ET...
    279,416 ticks, up to 08:02:02 ET...
    289,943 ticks, up to 08:03:29 ET...
    300,405 ticks, up to 08:05:26 ET...
    311,075 ticks, up to 08:06:26 ET...
    322,543 ticks, up to 08:07:12 ET...
    333,916 ticks, up to 08:08:33 ET...
    346,940 ticks, up to 08:09:22 ET...
    357,381 ticks, up to 08:10:59 ET...
    368,120 ticks, up to 08:13:23 ET...
    380,729 ticks, up to 08:14:50 ET...
    391,374 ticks, up to 08:17:15 ET...
    402,793 ticks, up to 08:18:02 ET...
    413,785 ticks, up to 08:19:22 ET...
    424,414 ticks, up to 08:21:38 ET...
    434,660 ticks, up to 08:24:05 ET...
    445,437 ticks, up to 08:27:26 ET...
    455,764 ticks, up to 08:33:03 ET...
    467,233 ticks, up to 08:36:52 ET...
    477,572 ticks, up to 08:43:53 ET...
    488,444 ticks, up to 08:47:58 ET...
    498,775 ticks, up to 08:50:40 ET...
    509,292 ticks, up to 08:55:53 ET...
    519,696 ticks, up to 09:06:16 ET...
    529,977 ticks, up to 09:11:29 ET...
    540,123 ticks, up to 09:18:08 ET...
    550,587 ticks, up to 09:28:03 ET...
    561,295 ticks, up to 09:31:12 ET...
    571,737 ticks, up to 09:33:53 ET...
    582,268 ticks, up to 09:36:21 ET...
    592,509 ticks, up to 09:40:39 ET...
    603,002 ticks, up to 09:43:38 ET...
    613,463 ticks, up to 09:48:13 ET...
    624,448 ticks, up to 09:52:19 ET...
    634,732 ticks, up to 09:59:38 ET...
    645,077 ticks, up to 10:09:50 ET...
    657,444 ticks, up to 10:13:09 ET...
    668,152 ticks, up to 10:14:17 ET...
    679,093 ticks, up to 10:15:18 ET...
    689,469 ticks, up to 10:17:23 ET...
    700,138 ticks, up to 10:19:34 ET...
    710,827 ticks, up to 10:22:50 ET...
    723,425 ticks, up to 10:23:44 ET...
    735,272 ticks, up to 10:24:30 ET...
    746,185 ticks, up to 10:26:15 ET...
    756,954 ticks, up to 10:28:09 ET...
    767,543 ticks, up to 10:29:41 ET...
    778,262 ticks, up to 10:30:46 ET...
    788,647 ticks, up to 10:34:11 ET...
    798,932 ticks, up to 10:36:56 ET...
    809,229 ticks, up to 10:43:20 ET...
    821,378 ticks, up to 10:45:50 ET...
    832,866 ticks, up to 10:46:43 ET...
    843,747 ticks, up to 10:47:40 ET...
    854,800 ticks, up to 10:48:45 ET...
    866,105 ticks, up to 10:50:21 ET...
    876,749 ticks, up to 10:52:42 ET...
    887,301 ticks, up to 10:54:50 ET...
    900,968 ticks, up to 10:55:37 ET...
    912,138 ticks, up to 11:01:23 ET...
    923,233 ticks, up to 11:02:36 ET...
    935,303 ticks, up to 11:03:53 ET...
    946,655 ticks, up to 11:04:29 ET...
    959,457 ticks, up to 11:10:11 ET...
    971,278 ticks, up to 11:10:40 ET...
    982,364 ticks, up to 11:11:05 ET...
    993,518 ticks, up to 11:11:48 ET...
    1,004,761 ticks, up to 11:12:32 ET...
    1,016,105 ticks, up to 11:14:09 ET...
    1,026,870 ticks, up to 11:15:18 ET...
    1,038,668 ticks, up to 11:16:26 ET...
    1,049,313 ticks, up to 11:17:02 ET...
    1,060,924 ticks, up to 11:17:45 ET...
    1,073,171 ticks, up to 11:18:14 ET...
    1,085,256 ticks, up to 11:19:27 ET...
    1,096,364 ticks, up to 11:20:47 ET...
    1,108,407 ticks, up to 11:22:16 ET...
    1,119,341 ticks, up to 11:23:53 ET...
