strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason
Round-Number,QCOM,2022-06-01,long,2022-06-01T10:37:00,2022-06-01T11:21:00,140.2,139.9,139.9,145.0,1,499.1254749999989,-0.29999999999998295,-0.0006010512687215245,stop
Round-Number,NKE,2022-06-02,long,2022-06-02T09:46:00,2022-06-02T09:56:00,120.15,119.9,119.9,125.0,1,499.1239749999989,-0.25,-0.0005008775625334378,stop
Round-Number,ROKU,2022-06-02,short,2022-06-02T11:12:00,2022-06-02T11:14:00,94.84,95.1,95.1,90.0,1,499.1227249999989,-0.2599999999999909,-0.000520913969605354,stop
Round-Number,MU,2022-06-03,short,2022-06-03T09:50:00,2022-06-03T09:54:00,69.95,70.1,70.1,65.0,32,499.12142499999896,-4.799999999999727,-0.009616898332905138,stop
Round-Number,ROKU,2022-06-06,long,2022-06-06T10:40:00,2022-06-06T10:53:00,90.04,89.9,89.9,95.0,3,499.0974249999989,-0.4200000000000017,-0.0008415190681458687,stop
Round-Number,AMD,2022-06-06,short,2022-06-06T13:25:00,2022-06-06T13:26:00,104.99,105.1,105.1,100.0,4,499.0953249999989,-0.4399999999999977,-0.0008815951141197299,stop
Round-Number,QCOM,2022-06-08,long,2022-06-08T09:40:00,2022-06-08T09:41:00,140.21,139.9,139.9,145.0,1,499.0931249999989,-0.3100000000000023,-0.0006211265683132841,stop
Round-Number,MU,2022-06-08,long,2022-06-08T10:07:00,2022-06-08T10:10:00,70.05,69.9,69.9,75.0,4,499.09157499999895,-0.5999999999999659,-0.0012021841883425243,stop
Round-Number,MU,2022-06-10,long,2022-06-10T09:40:00,2022-06-10T09:43:00,65.12,64.9,64.9,70.0,9,499.0885749999989,-1.9799999999999898,-0.003967231668246451,stop
Round-Number,QCOM,2022-06-10,short,2022-06-10T09:41:00,2022-06-10T09:42:00,134.97,135.1,135.1,130.0,5,499.0786749999989,-0.6499999999999773,-0.001302399867115097,stop
Round-Number,AAPL,2022-06-10,short,2022-06-10T09:45:00,2022-06-10T15:55:00,139.88,137.58,140.1,135.0,17,499.075424999999,39.09999999999971,0.078344871418984,session_close
Round-Number,ORCL,2022-06-13,long,2022-06-13T10:13:00,2022-06-13T10:24:00,65.13,64.9,64.9,70.0,5,499.27092499999895,-1.1499999999999488,-0.0023033586424043243,stop
Round-Number,ROKU,2022-06-14,long,2022-06-14T10:51:00,2022-06-14T10:54:00,75.2,74.9,74.9,80.0,3,499.26517499999903,-0.8999999999999915,-0.0018026492634900747,stop
Round-Number,ROKU,2022-06-16,long,2022-06-16T09:39:00,2022-06-16T09:50:00,80.32,79.9,79.9,85.0,1,499.260674999999,-0.4199999999999875,-0.0008412439053005492,stop
Round-Number,MU,2022-06-17,short,2022-06-17T10:04:00,2022-06-17T11:17:00,54.91,55.1,55.1,50.0,5,499.25857499999904,-0.9500000000000242,-0.0019028215990081411,stop
Round-Number,AMD,2022-06-21,short,2022-06-21T09:38:00,2022-06-21T09:59:00,84.74,85.1,85.1,80.0,45,499.25382499999904,-16.199999999999974,-0.032448424406162545,stop
Round-Number,DIS,2022-06-21,long,2022-06-21T10:06:00,2022-06-21T10:07:00,95.05,94.9,94.9,100.0,2,499.1728249999991,-0.29999999999998295,-0.0006009942548454706,stop
Round-Number,AMD,2022-06-22,short,2022-06-22T09:49:00,2022-06-22T09:54:00,84.77,85.1,85.1,80.0,29,499.17132499999906,-9.56999999999995,-0.01917177434020267,stop
Round-Number,ROKU,2022-06-23,short,2022-06-23T09:52:00,2022-06-23T09:58:00,89.82,90.1,90.1,85.0,4,499.123474999999,-1.1200000000000045,-0.0022439337280219223,stop
Round-Number,ORCL,2022-06-27,short,2022-06-27T10:07:00,2022-06-27T10:32:00,69.85,70.1,70.1,65.0,1,499.11787499999906,-0.25,-0.0005008836840395678,stop
Round-Number,NKE,2022-06-27,long,2022-06-27T15:07:00,2022-06-27T15:38:00,110.12,109.9,109.9,115.0,2,499.11662499999903,-0.4399999999999977,-0.0008815574916984554,stop
Round-Number,ROKU,2022-06-28,long,2022-06-28T09:39:00,2022-06-28T09:49:00,95.22,94.9,94.9,100.0,3,499.114424999999,-0.9599999999999795,-0.0019234066416733626,stop
Round-Number,DIS,2022-06-28,long,2022-06-28T09:59:00,2022-06-28T10:05:00,100.12,99.9,99.9,105.0,4,499.109624999999,-0.8799999999999955,-0.0017631397110404296,stop
Round-Number,DIS,2022-06-29,long,2022-06-29T09:50:00,2022-06-29T11:15:00,95.13,94.9,94.9,100.0,1,499.105224999999,-0.22999999999998977,-0.0004608246687860065,stop
Round-Number,QCOM,2022-06-29,short,2022-06-29T10:56:00,2022-06-29T13:45:00,129.75,130.1,130.1,125.0,1,499.104074999999,-0.3499999999999943,-0.000701256546542913,stop
Round-Number,MU,2022-06-30,short,2022-06-30T09:47:00,2022-06-30T10:58:00,54.82,55.1,55.1,50.0,13,499.102324999999,-3.640000000000015,-0.007293093655694796,stop
Round-Number,ROKU,2022-07-01,short,2022-07-01T09:50:00,2022-07-01T09:51:00,84.79,85.1,85.1,80.0,3,499.084124999999,-0.9299999999999642,-0.0018634133073256258,stop
Round-Number,ROKU,2022-07-05,short,2022-07-05T12:27:00,2022-07-05T13:12:00,89.97,90.1,90.1,85.0,3,499.07947499999904,-0.38999999999998636,-0.000781438667659068,stop
Round-Number,AAPL,2022-07-05,short,2022-07-05T12:37:00,2022-07-05T13:39:00,139.85,140.1,140.1,135.0,4,499.077524999999,-1.0,-0.002003696720264055,stop
Round-Number,ROKU,2022-07-07,long,2022-07-07T09:46:00,2022-07-07T09:47:00,90.12,89.9,89.9,95.0,3,499.072524999999,-0.6599999999999966,-0.0013224530843488087,stop
Round-Number,AMD,2022-07-08,short,2022-07-08T11:12:00,2022-07-08T11:21:00,79.83,80.1,80.1,75.0,12,499.069224999999,-3.2399999999999523,-0.006492085341467326,stop
Round-Number,AAPL,2022-07-11,long,2022-07-11T12:04:00,2022-07-11T15:13:00,145.08,144.9,144.9,150.0,2,499.05302499999897,-0.36000000000001364,-0.0007213662315743189,stop
Round-Number,QCOM,2022-07-12,short,2022-07-12T09:41:00,2022-07-12T09:45:00,134.85,135.1,135.1,130.0,3,499.05122499999896,-0.75,-0.0015028517363122424,stop
Round-Number,AMD,2022-07-13,long,2022-07-13T09:39:00,2022-07-13T09:41:00,75.05,74.9,74.9,80.0,39,499.047474999999,-5.8499999999996675,-0.011722331627867026,stop
Round-Number,NKE,2022-07-15,long,2022-07-15T09:33:00,2022-07-15T09:34:00,105.02,104.9,104.9,110.0,1,499.01822499999895,-0.11999999999999034,-0.00024047217914734595,stop
Round-Number,ROKU,2022-07-18,long,2022-07-18T09:37:00,2022-07-18T09:39:00,90.13,89.9,89.9,95.0,7,499.017624999999,-1.6099999999999284,-0.0032263389494507967,stop
Round-Number,ROKU,2022-07-20,short,2022-07-20T09:48:00,2022-07-20T09:49:00,94.82,95.1,95.1,90.0,10,499.00957499999896,-2.8000000000000114,-0.005611114776705471,stop
Round-Number,ORCL,2022-07-25,long,2022-07-25T09:37:00,2022-07-25T09:42:00,75.05,74.9,74.9,80.0,1,498.99557499999895,-0.14999999999999147,-0.0003006038680803768,stop
Round-Number,MU,2022-07-25,short,2022-07-25T10:43:00,2022-07-25T10:44:00,60.0,60.1,60.1,55.0,4,498.99482499999897,-0.4000000000000057,-0.0008016115197186795,stop
Round-Number,ORCL,2022-07-26,short,2022-07-26T09:39:00,2022-07-26T10:43:00,74.9,75.1,75.1,70.0,1,498.992824999999,-0.19999999999998863,-0.00040080736631832137,stop
Round-Number,MU,2022-07-26,long,2022-07-26T10:26:00,2022-07-26T11:37:00,60.18,59.9,59.9,65.0,7,498.99182499999904,-1.960000000000008,-0.003927920061616263,stop
Round-Number,ORCL,2022-07-27,short,2022-07-27T09:40:00,2022-07-27T10:16:00,74.78,75.1,75.1,70.0,2,498.982024999999,-0.6399999999999864,-0.001282611332542465,stop
Round-Number,MU,2022-07-27,short,2022-07-27T09:52:00,2022-07-27T09:55:00,59.93,60.1,60.1,55.0,6,498.978824999999,-1.0200000000000102,-0.0020441749206492124,stop
Round-Number,ROKU,2022-07-27,long,2022-07-27T10:07:00,2022-07-27T10:31:00,85.06,84.9,84.9,90.0,4,498.973724999999,-0.6399999999999864,-0.0012826326676820261,stop
Round-Number,ROKU,2022-07-29,short,2022-07-29T10:18:00,2022-07-29T10:19:00,65.01,65.1,65.1,65.0,28,498.970524999999,-2.5199999999996976,-0.0050503985180281,stop
Round-Number,QCOM,2022-08-01,long,2022-08-01T09:33:00,2022-08-01T15:55:00,145.13,147.28,144.9,150.0,8,498.95792499999897,17.200000000000045,0.0344718444947038,session_close
Round-Number,DIS,2022-08-01,long,2022-08-01T09:50:00,2022-08-01T15:55:00,105.11,106.38,104.9,110.0,1,499.0439249999989,1.269999999999996,0.0025448661658390064,session_close
Round-Number,ROKU,2022-08-02,long,2022-08-02T10:39:00,2022-08-02T15:55:00,75.25,76.27,74.9,80.0,10,499.050274999999,10.19999999999996,0.020438822521438308,session_close
Round-Number,ROKU,2022-08-03,long,2022-08-03T10:13:00,2022-08-03T10:17:00,75.23,74.9,74.9,80.0,6,499.10127499999896,-1.9799999999999898,-0.003967130719111054,stop
Round-Number,NKE,2022-08-04,long,2022-08-04T09:46:00,2022-08-04T09:51:00,115.14,114.9,114.9,120.0,1,499.09137499999895,-0.23999999999999488,-0.00048087386803668045,stop
Round-Number,QCOM,2022-08-04,short,2022-08-04T14:47:00,2022-08-04T14:53:00,149.87,150.1,150.1,145.0,1,499.09017499999896,-0.22999999999998977,-0.00046083856489459094,stop
Round-Number,NKE,2022-08-08,long,2022-08-08T09:54:00,2022-08-08T09:58:00,115.14,114.9,114.9,120.0,1,499.08902499999897,-0.23999999999999488,-0.0004808761322691786,stop
Round-Number,DIS,2022-08-08,long,2022-08-08T11:33:00,2022-08-08T11:39:00,110.09,109.9,109.9,115.0,2,499.08782499999893,-0.37999999999999545,-0.0007613890400952904,stop
Round-Number,AMD,2022-08-08,short,2022-08-08T12:53:00,2022-08-08T13:07:00,99.95,100.1,100.1,95.0,19,499.0859249999989,-2.849999999999838,-0.005710439540044822,stop
Round-Number,MU,2022-08-10,short,2022-08-10T09:51:00,2022-08-10T10:02:00,59.98,60.1,60.1,55.0,11,499.0716749999989,-1.32000000000005,-0.0026449106734018775,stop
