strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason
Round-Number,NKE,2023-12-01,long,2023-12-01T09:36:00,2023-12-01T15:55:00,110.12,113.455,109.9,115.0,223,1000.0,743.7049999999986,0.7437049999999986,session_close
Round-Number,ROKU,2023-12-01,long,2023-12-01T10:27:00,2023-12-01T10:43:00,105.285,104.9,104.9,110.0,135,1000.0,-51.97499999999877,-0.05197499999999877,stop
Round-Number,QCOM,2023-12-05,short,2023-12-05T09:36:00,2023-12-05T10:00:00,129.87,130.1,130.1,125.0,303,1000.0,-69.6899999999969,-0.0696899999999969,stop
Round-Number,NKE,2023-12-05,short,2023-12-05T09:44:00,2023-12-05T09:48:00,114.74,115.1,115.1,110.0,194,1000.0,-69.83999999999989,-0.06983999999999989,stop
Round-Number,ROKU,2023-12-05,long,2023-12-05T10:10:00,2023-12-05T10:27:00,105.29,104.9,104.9,110.0,78,1000.0,-30.420000000000044,-0.030420000000000044,stop
Round-Number,NKE,2023-12-07,short,2023-12-07T09:41:00,2023-12-07T10:05:00,114.8,115.1,115.1,110.0,234,1000.0,-70.19999999999933,-0.07019999999999933,stop
Round-Number,QCOM,2023-12-11,short,2023-12-11T09:38:00,2023-12-11T09:45:00,134.92,135.1,135.1,130.0,3518,1000.0,-633.240000000024,-0.633240000000024,stop
Round-Number,AMD,2023-12-12,short,2023-12-12T10:01:00,2023-12-12T10:04:00,134.76,135.1,135.1,130.0,1783,1000.0,-606.220000000006,-0.6062200000000061,stop
Round-Number,AMD,2023-12-15,short,2023-12-15T09:38:00,2023-12-15T11:35:00,140.0,140.1,140.1,135.0,3430,1000.0,-342.9999999999805,-0.3429999999999805,stop
Round-Number,ORCL,2023-12-18,short,2023-12-18T09:52:00,2023-12-18T09:53:00,104.92,105.1,105.1,100.0,303,1000.0,-54.53999999999776,-0.054539999999997764,stop
Round-Number,ROKU,2023-12-18,long,2023-12-18T10:06:00,2023-12-18T10:08:00,95.28,94.9,94.9,100.0,367,1000.0,-139.45999999999833,-0.13945999999999834,stop
Round-Number,WFC,2023-12-18,long,2023-12-18T10:10:00,2023-12-18T13:04:00,50.1,49.9,49.9,55.0,211,1000.0,-42.2000000000006,-0.0422000000000006,stop
Round-Number,ROKU,2023-12-19,short,2023-12-19T09:50:00,2023-12-19T10:07:00,94.88,95.1,95.1,90.0,262,1000.0,-57.6399999999997,-0.057639999999999705,stop
Round-Number,ORCL,2023-12-19,long,2023-12-19T10:05:00,2023-12-19T15:55:00,105.23,106.14,104.9,110.0,205,1000.0,186.5499999999993,0.1865499999999993,session_close
Round-Number,CSCO,2023-12-20,long,2023-12-20T09:39:00,2023-12-20T15:03:00,50.19,49.9,49.9,55.0,714,1000.0,-207.05999999999938,-0.20705999999999938,stop
Round-Number,ORCL,2023-12-20,long,2023-12-20T09:41:00,2023-12-20T14:50:00,105.25,104.9,104.9,110.0,64,1000.0,-22.399999999999636,-0.022399999999999635,stop
Round-Number,WFC,2023-12-20,long,2023-12-20T09:57:00,2023-12-20T14:37:00,50.025,49.9,49.9,55.0,150,1000.0,-18.75,-0.01875,stop
Round-Number,ORCL,2023-12-21,long,2023-12-21T09:35:00,2023-12-21T09:59:00,105.11,104.9,104.9,110.0,79,1000.0,-16.589999999999506,-0.016589999999999504,stop
Round-Number,ROKU,2023-12-21,long,2023-12-21T09:39:00,2023-12-21T09:40:00,90.17,89.9,89.9,95.0,239,1000.0,-64.52999999999905,-0.06452999999999905,stop
Round-Number,MU,2023-12-21,short,2023-12-21T10:01:00,2023-12-21T14:41:00,84.76,85.1,85.1,80.0,1457,1000.0,-495.37999999998425,-0.4953799999999843,stop
Round-Number,CSCO,2023-12-22,long,2023-12-22T09:33:00,2023-12-22T15:55:00,50.02,50.105,49.9,55.0,977,1000.0,83.04499999999389,0.08304499999999389,session_close
Round-Number,NKE,2023-12-22,short,2023-12-22T09:35:00,2023-12-22T09:42:00,109.935,110.1,110.1,105.0,3031,1000.0,-500.1149999999759,-0.5001149999999759,stop
